X_0_0,X_0_1,X_0_2,X_0_3,Y_0_0,Y_0_1,Y_0_2,Y_0_3,decay_0,decay_1,W_0,W_1,J_0
0.5248,0.5632,0.5248,0.5632,0.2264,0.3672,0.2264,0.3672,0.9775827372753758,1.4379879545825212,-1.5216681057810173,-1.0861028451148205,-0.816740483670191
0.4616,0.72,0.4616,0.72,0.0328,0.236,0.0328,0.236,0.7618011808934619,1.9355288955675194,-0.7228386615131015,-0.15667063931581246,-1.12910577674743
0.8312,0.592,0.8312,0.592,-0.3688,0.3328,-0.3688,0.3328,0.9238131457340385,0.21263578405340888,-1.219305984098793,1.1002581788007508,0.4066427748388509
0.6512,0.6856,0.6512,0.6856,-0.2368,0.2864,-0.2368,0.2864,0.756886168562974,0.8902472996315788,-0.9507194333778243,0.883567838718596,0.2757543722711571
0.6408,0.7344,0.6408,0.7344,-0.712,-0.304,-0.712,-0.304,0.5937861637244766,0.08148112496914361,1.027849843114634,2.0853604218543382,1.6601054818011696
0.5576,0.9808,0.5576,0.9808,0.2208,0.0064,0.2208,0.0064,0.0469164473740904,1.2656166907612552,-0.06393882222987055,-1.0288854245829737,-0.5968573801710808
0.4904,0.6248,0.4904,0.6248,0.2632,-0.1456,0.2632,-0.1456,1.19225142443706,1.4053532687553947,0.5970660027641549,-1.1754142108296721,-0.09751929176205634
0.8832,0.5608,0.8832,0.5608,0.024,0.3816,0.024,0.3816,1.0848426090884327,0.30618810716110834,-1.4833867066464628,-0.053652115205696814,-1.2931142400918076
0.8592,0.6136,0.8592,0.6136,-0.5,-0.1632,-0.5,-0.1632,1.079710681332706,-0.15071077403594657,0.6676353791280916,1.3759845384318694,-0.136644990872675
0.6888,0.6304,0.6888,0.6304,-0.0816,0.06,-0.0816,0.06,1.2668915961087421,0.8848586646480527,-0.1284356284945444,0.40481618810049247,1.1144712742969158
0.9608,0.8952,0.9608,0.8952,-0.32,0.0592,-0.32,0.0592,0.26717059692816236,-0.1639335250137357,-0.18709036292627274,0.7293731328428005,0.5332156513267765
0.5984,0.6344,0.5984,0.6344,0.2952,-0.1608,0.2952,-0.1608,1.0425587737945117,0.8828801871886335,0.5346898373177528,-1.2172435682538247,-0.19392654487072167
0.4496,0.4456,0.4496,0.4456,0.4256,-0.3112,0.4256,-0.3112,1.495327852654493,1.1359560862174962,1.517839597090988,-2.0106459992448893,-0.013411574137972258
0.68,0.7432,0.68,0.7432,-0.0488,-0.036,-0.0488,-0.036,0.7952569388407262,0.9773545037173259,0.17126761036052787,0.22886107017706522,1.4149099916399945
0.5304,0.4288,0.5304,0.4288,-0.4096,-0.3104,-0.4096,-0.3104,1.5443648142321953,1.0102803937516107,1.6845293322223085,1.6991758681495073,-0.7277186941749895
0.9408,0.6624,0.9408,0.6624,0.1128,-0.3088,0.1128,-0.3088,0.7187981354467166,0.134733700146898,1.0934250614865484,-0.2971242680181636,0.1861333025589482
0.732,0.7576,0.732,0.7576,0.1224,0.1096,0.1224,0.1096,0.6731402922611809,0.7100869497128872,-0.32320636858922625,-0.39869951608153315,-0.5989823126138415
0.48,0.7736,0.48,0.7736,0.3208,0.3816,0.3208,0.3816,0.4722965831177415,1.2640530691428167,-1.1704673322856638,-1.32723279648241,-1.3740571647293176
0.7224,0.6192,0.7224,0.6192,-0.2224,0.1552,-0.2224,0.1552,1.1145856717265397,0.7917516731270936,-0.6081380146686741,0.6622010605255593,0.40165699214275785
0.5336,0.508,0.5336,0.508,0.1112,0.54,0.1112,0.54,0.7192393516088305,1.493605658574442,-2.008332732694548,-0.4656692945972435,0.5692074568583408
0.7184,0.728,0.7184,0.728,0.1032,0.0392,0.1032,0.0392,0.7840894379393881,0.7809364413606256,-0.19805007863462867,-0.37591647408016826,-1.3975570720520478
0.564,0.4848,0.564,0.4848,0.268,0.5136,0.268,0.5136,0.8369580991844159,1.1762538589721132,-2.044196470788308,-1.0837041575397954,0.8460445300697391
0.4912,0.6816,0.4912,0.6816,0.4064,-0.1176,0.4064,-0.1176,0.9921219302979114,1.1174802713792868,0.4557260137382335,-1.5689530149663122,-0.02866058054542575
0.6968,0.8416,0.6968,0.8416,0.1736,-0.1976,0.1736,-0.1976,0.39073501649120335,0.837743782558165,0.49110163270313867,-0.5281084379036742,-0.03932852508042204
0.5648,0.6544,0.5648,0.6544,0.1224,-0.1352,0.1224,-0.1352,0.9029031573793274,1.420059794674097,0.5558120907079325,-0.5039238371716761,-1.1010980387682143
0.7064,0.8096,0.7064,0.8096,-0.004,-0.136,-0.004,-0.136,0.5605994533852425,0.877839712138615,0.3757359737485358,-0.029412099059839606,1.0401710962360327
0.6544,0.7768,0.6544,0.7768,-0.1032,0.2488,-0.1032,0.2488,0.58206017754419,1.1303332124411638,-0.7203514943363304,0.40707456805329034,0.9077739482916127
0.6624,0.524,0.6624,0.524,0.512,-0.0368,0.512,-0.0368,1.5571945046549285,0.4536859060293005,0.061554254756062916,-1.6056953618857839,-1.4689950013992468
0.7032,0.4408,0.7032,0.4408,0.26,-0.0584,0.26,-0.0584,2.128114673649304,0.7515619568670672,0.3840841715826631,-1.0152332082016964,1.2658897782468628
0.5584,0.7632,0.5584,0.7632,0.2264,0.0336,0.2264,0.0336,0.7003743615410121,1.3403574304491963,-0.023798169491155492,-0.9995733251520262,0.7052873506744143
0.8344,0.7928,0.8344,0.7928,-0.0976,0.1176,-0.0976,0.1176,0.5507880495437243,0.4419480132615785,-0.4311607425434718,0.2123910163543677,-0.07942374935413167
0.4104,0.7344,0.4104,0.7344,0.5872,-0.164,0.5872,-0.164,0.7271247067038584,0.7980754168385196,0.47057337293720797,-2.277677673427449,1.1732733773499076
0.5432,0.6664,0.5432,0.6664,-0.0552,-0.444,-0.0552,-0.444,0.5380258361533443,1.512601899767125,1.4501857000000216,0.3147261416395203,0.4635947229472327
0.5472,0.7296,0.5472,0.7296,0.02,0.2,0.02,0.2,0.7395424278438646,1.4386946269868528,-0.7080057864444443,-0.14296568758944894,-0.11920347553087841
0.4384,0.464,0.4384,0.464,-0.4784,-0.1376,-0.4784,-0.1376,1.6448819084337567,1.023387544797045,0.6831670283558047,2.1057584893715253,-2.701070972220548
0.4696,0.9312,0.4696,0.9312,-0.196,-0.3672,-0.196,-0.3672,-0.3023144556739594,1.5729271687064559,0.8967194919115228,0.8919285198366346,-1.0607897811987526
0.4288,0.6528,0.4288,0.6528,0.3952,0.0136,0.3952,0.0136,1.056295122266982,1.4294659734522452,-0.0021637338534678677,-1.949992137488133,1.4461443992570207
0.7864,0.7168,0.7864,0.7168,-0.5136,0.408,-0.5136,0.408,0.3697926554393929,0.16614478276274358,-1.366049730459287,1.40347539279931,-0.4567784391646229
0.6048,0.4928,0.6048,0.4928,-0.032,0.4656,-0.032,0.4656,0.9057521165676282,1.2583070939214034,-1.9093077216694863,0.08075797415039586,-1.2744535900019067
0.6272,0.5608,0.6272,0.5608,0.288,-0.1256,0.288,-0.1256,1.4564322848172448,0.9297584316326982,0.6124200017029223,-1.0565931523770766,-0.7489397018216353
0.816,0.4136,0.816,0.4136,-0.3016,0.2752,-0.3016,0.2752,1.8083233011714102,0.3613575293404482,-1.6090437908845288,0.8929470017237334,-0.6620151521198161
0.4648,0.444,0.4648,0.444,-0.0664,-0.4904,-0.0664,-0.4904,1.0136857481204553,1.7766546122301201,2.166134467445984,0.3510230519396023,-0.1250410891173176
0.384,0.996,0.384,0.996,-0.4128,0.12,-0.4128,0.12,-0.1444360404468521,1.466287558005092,-0.25361519258169885,2.035392969549912,0.2386017349390977
0.6728,0.4944,0.6728,0.4944,-0.4712,-0.0896,-0.4712,-0.0896,1.6939793189162962,0.4598164774338366,0.3865958166771515,1.4645635246814361,1.1998163385223382
0.8432,0.6704,0.8432,0.6704,0.5488,0.1088,0.5488,0.1088,0.9916914235597115,-0.0702926238840822,-0.4885261567256528,-1.421207027882321,1.1930866103891864
0.6512,0.6648,0.6512,0.6648,0.1056,0.3392,0.1056,0.3392,0.6932788132059686,1.0098867502856836,-1.1675455097627774,-0.4289556951738496,0.1455123479911694
0.6304,0.5296,0.6304,0.5296,-0.0992,-0.2304,-0.0992,-0.2304,1.3418391531035194,1.1381408271325832,1.0614385907573598,0.4131829231962808,0.9166838564953449
