X_0_0,X_0_1,X_0_2,X_0_3,X_0_4,X_0_5,X_0_6,X_0_7,Y_0_0,Y_0_1,Y_0_2,Y_0_3,Y_0_4,Y_0_5,Y_0_6,Y_0_7,decay_0,decay_1,decay_2,decay_3,W_0,W_1,W_2,W_3,J_0,J_1,J_2
0.58376,0.60824,-0.08528,0.29496,0.67336,0.76128,0.68488,-0.07264,0.32976,-0.4572,-0.67784,-0.69016,0.67672,0.06096,-0.08576,-0.75216,0.3644358757447958,0.4740800873041655,0.3306057253963771,0.4916542394555405,1.45734073996482,2.1332027758715286,0.8138977000035247,-0.6492658361636897,0.6110366190940443,-0.6609309370524884,-0.901073202345498
0.52456,-0.1664,0.66704,0.76576,0.6332,0.09384,-0.6416,0.0348,0.36688,-0.67992,-0.35872,-0.14656,0.63576,-0.69144,-0.40504,-0.78072,0.3111151784386481,0.3329597337148948,0.4328200215634263,0.5681843795310109,0.2275878810839093,0.6221740782868048,2.262333303744334,-0.764039075600684,1.692313452545409,0.9641800093723218,-0.472331457733002
0.68976,0.85384,0.82064,0.52584,0.74264,0.81888,0.02832,0.164,-0.28504,0.10856,-0.1328,-0.32568,0.74256,0.24696,0.8232,-0.59608,0.5934452106159052,0.2386786096750989,0.1889929015227776,0.373536581113029,0.6935105825962015,0.2046052485020403,-0.1581268985558622,0.4922429252535991,0.9248212872391136,-1.7515249014120162,-0.2163980604570451
0.66896,0.68344,0.59032,0.6656,0.7168,0.37608,0.58648,0.60104,0.2472,0.00552,0.29232,-0.0436,0.70056,0.5564,-0.3004,-0.28544,0.5044856300734272,0.5288926422715285,0.4900906524518099,0.4224558472700946,0.0762346392330386,-0.5549253396865448,-0.0025934300299405,-0.4519728994419018,0.4885545476224134,0.6079683813801108,-1.2333999930565347
0.73088,0.36224,0.68936,0.64792,0.752,0.44048,0.55784,-0.36328,-0.13016,0.73456,0.20992,0.19576,0.7528,0.68584,0.44192,0.5564,0.4921672974216379,0.4159943084287451,0.2566420914791437,0.359031961729044,-0.3661252335620443,-0.3670643097187677,-1.393734322843894,0.2195422415649474,-2.3108650019289363,0.5548271206887992,0.143424184793967
0.536,0.65208,0.23392,0.266,0.65008,0.07,0.6144,0.62896,-0.38056,0.26736,0.57952,-0.76584,0.64912,0.71144,0.17552,-0.5204,0.2531841259047713,0.5787216577377867,0.4287570403568291,0.5435184726115944,1.5294270358770607,-1.4620142876215405,-0.4707434455554896,0.7560567070596768,-0.6598308216933375,0.1353331963814075,-1.3704494736399748
0.58208,0.40352,0.65008,0.8212,0.7408,-0.0848,0.07976,0.84272,0.4672,0.44304,0.3936,-0.25896,0.74568,0.60648,0.75024,0.1856,0.1851945836211365,0.3515439211417922,0.6350212805786246,0.3759185453700051,0.3803736672744775,-0.679953738203577,-1.0566455177300067,-0.8513037870591195,-0.6527478064863563,-0.7749190590032743,-1.0565517885847358
0.32384,0.63824,0.28208,0.6724,0.7328,0.58328,0.58344,0.74888,-0.66392,-0.38008,-0.52008,-0.43168,0.73944,-0.44624,0.12752,-0.29944,0.2831191712787074,0.653075446805196,0.3718322458719002,0.3756914195484672,0.7229722105319636,1.3228298143248236,0.6712934302394108,1.391557184699871,-0.2432071456176618,-0.9506500235486076,0.1570094639457036
0.72968,0.53488,0.5364,0.71048,0.74632,-0.04528,0.73488,0.67728,-0.2132,0.51768,0.52352,-0.13744,0.76032,0.74024,0.14296,0.24608,0.4192139051301999,0.3619073345666244,0.3747320060478127,0.3474791087171032,0.2377032352977559,-0.9629792453250676,-0.959035020531038,0.34490811581057,-0.6601431953501519,0.7380161696400788,-1.0709977843910836
0.75272,0.62448,0.33728,0.71384,0.75384,0.16488,0.20224,0.36544,0.08768,0.21784,0.73176,0.33616,0.75704,-0.63928,0.77944,-0.69768,0.2991729746213287,0.2696978284757892,0.5202461681653835,0.3412316002735224,-0.5608266294720766,-1.4130562841883,-0.425698673659471,-0.1355907979775289,1.9212394903231125,-1.2486014487136088,2.0696429471870914
0.61176,0.60288,0.35656,-0.18232,0.61208,0.72328,0.66816,-0.13944,0.11624,-0.4376,0.59752,0.6228,0.61872,0.15264,-0.17696,0.64344,0.5316995992795011,0.4616361040805615,0.3730912989745031,0.601969114800233,-2.352482021531327,-1.2806293852870807,0.7834317435418499,-0.2564194144207145,0.1318307361607984,-0.4504032981739246,-1.0504207307163784
0.73816,0.512,0.68096,0.81464,0.73728,0.10344,0.49416,0.48464,0.12992,0.44712,0.5204,-0.0328,0.73272,0.66328,0.67272,-0.64608,0.2646860062478834,0.2045457188100315,0.4826929671787084,0.3789460290099289,0.0319050886748587,-0.794215320383675,-0.9073953396285864,-0.2018405437849,1.1161074653727303,-0.2567566532113049,-0.8436969969140069
0.60872,0.6736,0.60984,0.59536,0.672,-0.16664,0.56288,0.4264,0.30216,-0.08112,-0.37072,-0.2288,0.67544,-0.65688,0.44528,-0.46064,0.5769174158756853,0.425925046186122,0.4887559504123293,0.4935103317689864,0.4590711512567567,0.6793101653283595,0.1545629950143204,-0.5838819427949963,0.5754029713238976,-1.01188116267903,2.12438405999546
0.794,0.87072,0.73432,0.62656,0.80584,0.422,0.28344,-0.2448,0.1636,-0.21192,0.0144,0.4188,0.80952,-0.79048,-0.68432,0.70768,0.3569543476801622,0.3754086133105753,0.1367286838193479,0.2654020904200481,-0.7319111732103812,-0.0435354582281581,0.3023575606904752,-0.2639591529907684,-1.6542867228868388,1.1624289023120895,1.0492284455985432
0.65816,0.5716,0.6856,0.72944,0.75384,0.48032,0.76392,0.84944,-0.37512,-0.05376,-0.38504,0.44072,0.75504,-0.31008,-0.15992,-0.07416,0.1999065745480633,0.2994026644767317,0.6966585965470407,0.3532695128821986,-0.675336856011877,0.6424731395168818,0.1298758949820586,0.6379268243373488,0.7645754021860721,0.1227943354677385,0.5846375303906939
0.60736,0.62632,0.64552,-0.62288,0.66024,0.37416,0.58952,-0.642,-0.26664,0.1628,0.52608,-0.41152,0.658,0.54056,0.57936,-0.40088,0.3641438193898553,0.2434107808077544,0.5329710704560823,0.5210264706596882,3.200957462157757,-0.8448341926170951,-0.3155135836037189,0.5180971834297743,0.0284996027452141,-0.6547447851245038,-0.8966089421453952
-0.02616,0.53264,0.66096,0.47952,0.72232,0.71152,0.20192,0.2028,0.72976,0.65936,-0.28208,0.41224,0.7288,0.46616,0.68568,0.60912,0.5691026147763608,0.4140783744530081,0.208939063794413,0.3932885811109061,-0.8983685512351167,0.5060744647994577,-1.119198098774792,-2.011699954559022,-0.6660100870132655,-0.4824787528409522,0.3930329047409431
0.5684,0.09432,-0.2704,0.60712,0.65696,-0.24352,0.74408,-0.12208,0.31488,-0.69544,-0.73856,0.44832,0.65464,-0.67088,0.25528,0.74568,0.3553459531238979,0.3101053772438824,0.4291276402270251,0.5334785083518456,-0.8016492259320781,2.405338251391856,1.7877260893082887,-0.6428513969161822,-1.3613278418088095,-2.195804946714118,0.6237598756716717
0.562,0.7,0.69056,-0.13008,0.71984,0.622,0.59464,-0.43112,0.46272,0.37336,-0.33056,-0.83624,0.72384,0.49464,0.47128,-0.73888,0.2050606279031696,0.3370795924213824,0.2888293374553472,0.4169375853703207,2.165841284294645,0.5631066210036515,-0.5885091008727634,-0.8648511679043599,0.453468510672752,-0.237955497226105,-0.2552241844336727
0.86504,0.718,0.62832,0.33768,0.86064,0.73704,0.52256,0.20528,-0.01584,0.19464,-0.44984,-0.62896,0.864,-0.02488,0.56264,-0.68888,0.4205710879905535,0.3308223871331812,0.3709968627643382,0.187026647811798,1.334150863203725,0.7672044474022333,-0.3278999690576878,0.0207966510516652,0.2727243313563312,-0.6929748314734142,0.3849524255726406
0.56752,0.08008,0.50624,0.51104,0.67352,-0.29792,0.57888,-0.01816,0.35384,-0.73472,-0.34352,-0.37752,0.67328,-0.67784,-0.22232,-0.63216,0.5612606110663272,0.5971799250297546,0.378804359468138,0.4881974201734628,0.7783400746170871,0.7422722040661263,1.8396144740563607,-0.7121588756991161,1.2271544414735736,-1.3961489037801078,0.6332172052944388
0.62664,0.77152,0.57824,0.86216,0.73936,0.67544,0.6484,0.66264,-0.38648,-0.1264,-0.40128,-0.0588,0.73808,0.39184,0.28872,0.54944,0.1862399959881207,0.4183073979486352,0.3041031858494783,0.3792558258625103,0.0849119842957713,0.7606470290696287,0.2097667812224909,0.6931067626891394,-0.9498309998855262,-0.7547325787248622,-0.8702162091323741
-0.0116,0.58192,0.52152,0.51744,0.6996,0.6076,0.74312,0.77376,0.7024,-0.39656,0.64416,-0.57376,0.70656,-0.338,0.36984,-0.0048,0.3216156237750212,0.2352088513751668,0.4403539097544504,0.4386450055691678,1.0380139075761945,-1.122996934594024,0.732727322936176,-1.992857820573412,-1.024903406050832,-1.3024336143019315,-0.1004721132679683
0.60072,0.45648,0.37496,0.81328,0.65152,0.44216,0.38984,0.73,0.22544,0.56776,0.51432,0.18592,0.65736,0.56848,0.4952,0.404,0.2246162995545331,0.5599428128890525,0.4044994202533187,0.5398105923551949,-0.2794777502336373,-1.1789076863826882,-1.1273611296212174,-0.4609967484075428,-0.3556479683580064,-0.0030798232123176,0.000884784805548
0.81632,0.336,0.74184,0.66928,0.84096,0.78496,-0.15168,0.60376,0.24672,0.76264,-0.16432,0.04304,0.8504,-0.29208,0.74672,0.27472,0.5076080576523857,0.336557827799448,0.2260881339300355,0.2040210746613239,-0.0840688724896309,0.2879299094668961,-1.4420992759809956,-0.3673377241004574,-0.4578178521144871,-0.7875304072049445,1.8875314724118155
0.60912,0.62304,0.59264,0.70312,0.6144,0.57752,0.56224,0.60552,-0.06952,0.17584,0.0304,0.11784,0.6136,-0.31208,-0.2188,0.35288,0.4302195323670267,0.6388278351430345,0.5247594638274352,0.6123977644303185,-0.2156641909348851,-0.0474459439850297,-0.3423569289060428,0.1546194448838621,-0.4374315816244202,0.8068955398333625,0.961146075690476
0.72384,0.59496,0.41608,0.76088,0.75752,0.64488,0.4872,0.77776,0.23432,0.3204,-0.58768,0.14968,0.76248,-0.16472,-0.5304,0.02608,0.3167090503676176,0.4166004823890569,0.496421554311975,0.3387146146485496,-0.2467482218238521,1.1968595804278253,-0.6359063848857777,-0.3875608306155278,0.1980745326997094,1.6840586917727334,0.959952852207447
0.6224,0.72304,0.262,0.76,0.74376,0.65168,0.75984,0.6368,-0.39872,-0.0648,0.75456,-0.16104,0.74248,-0.31096,0.274,-0.44496,0.3169020237112029,0.2679769223087537,0.4038969002922979,0.3801634777993075,0.2560508917915873,-1.5460275596307749,0.1228513832033287,0.7168960227677357,0.4992900418448897,-0.5470143431581106,0.4294516586599101
0.64104,0.38272,0.50936,0.73992,0.74064,0.40088,0.66056,0.39864,-0.39832,-0.62392,0.4504,0.0676,0.75,-0.60312,0.08728,-0.6252,0.373376914715842,0.5059515632960943,0.3990720647989521,0.3682434482078808,-0.1148117901508002,-0.9073721891155506,1.2779331116497707,0.6952093725204056,1.3681510104391754,-1.4445286810157023,-0.0555283286637751
0.72272,0.4984,0.5412,0.86976,0.74912,0.10496,0.64248,0.72472,-0.1996,0.25888,0.37592,-0.1284,0.74328,0.544,-0.13504,0.4936,0.1570355703608388,0.5146095063808657,0.7233195559156114,0.3749822207215809,0.185687952101083,-0.7514467472127349,-0.5921343639715569,0.3176696080292958,-0.940937569582078,0.858160134877662,-1.1390597929238986
0.23424,0.69264,0.16936,0.67232,0.77656,-0.13712,0.88896,-0.02832,0.73816,0.3744,0.86864,0.54008,0.76736,0.77648,-0.01944,0.85896,0.1879443647404812,0.1475503938992689,0.2945768703145127,0.324484988318069,-0.8176044743644246,-1.7159322265843373,-0.6310599568970228,-1.5746884520939848,-1.1992754662670022,0.6740228835992442,-1.5432490487251675
