X_0_0,X_0_1,X_0_2,X_0_3,Y_0_0,Y_0_1,Y_0_2,Y_0_3,decay_0,decay_1,W_0,W_1,J_0
0.6744,0.792,0.8648,0.6208,0.544,-0.076,0.8472,-0.4432,0.3213717031331771,0.20670039235485183,0.09612416456955925,-0.8314796549851196,0.6901796087539732
0.6312,0.2944,0.688,-0.0304,-0.1952,-0.6568,0.6896,-0.7424,0.4024918795525851,0.49178076927749514,1.3970407620414171,0.4393614431620443,0.6370519438125941
0.5336,0.4736,0.548,0.396,0.1544,0.5128,0.536,0.608,0.4214793794039409,0.7620385209344642,-1.0378988917032066,-0.33502853995417986,-0.26226894278999086
0.6376,0.3864,0.6712,0.408,-0.032,0.7928,0.6376,0.7648,0.14669589267955613,0.5646210101207245,-1.3455064314191203,0.07865378050379455,0.011350589306889591
0.788,0.3376,0.7928,-0.1168,0.0368,-0.7056,0.768,-0.7528,0.32448302464412504,0.28242119383014713,1.4051144501407513,-0.1033355870628208,0.6998196337111481
0.6704,0.504,0.7104,0.7344,-0.0064,0.5512,0.6736,0.156,0.3938430219869217,0.46766006756844564,-1.0509036468908097,0.0020623846597407286,0.8199042650883882
0.2408,0.7296,0.6728,0.7872,-0.6168,-0.2168,0.6552,0.0912,0.31847529214004305,0.5260210008934277,0.3196283816973462,1.498207632975255,-0.47932111589475146
0.1912,0.7504,0.6976,0.7512,-0.676,0.0712,0.716,0.1512,0.3402070684859013,0.443425359276225,-0.16321731183643765,1.6239697009014153,-0.06940054555123223
-0.4912,-0.172,0.7848,0.1496,0.624,0.6576,0.7968,0.6824,0.4688193937993288,0.30134852245497734,-2.29918784037483,-2.7572666418441565,0.5816321084974552
0.7192,0.5424,0.7728,0.5912,0.1616,0.58,0.7368,0.5472,0.28348700303424573,0.36565600024662764,-0.9894459605227697,-0.31960908568527546,0.09824829412472391
0.636,0.5872,0.7512,0.8336,-0.3704,-0.568,0.7704,-0.0912,0.2238059490634132,0.34571190316408684,0.943760267995767,0.6952583445455631,-0.8190421709697877
0.4968,0.7472,0.8696,0.3224,-0.6944,-0.1456,0.8424,-0.6936,0.35162402829588146,0.1864185193316513,0.24702460972088966,1.2053931984996722,1.1740709377778225
0.5768,0.6488,0.6192,-0.0456,-0.2256,0.3344,0.6144,0.724,0.40302562793619245,0.5829177730830888,-0.5794977637688686,0.5139356484504932,-1.4949080384676607
0.6504,0.624,0.904,0.6216,-0.608,0.1776,0.9008,-0.272,0.503149190269524,0.128169328741906,-0.3446805880357865,0.9184735109927654,0.9021722378417931
0.596,0.8528,0.7752,0.6296,0.5544,-0.092,0.7936,-0.5824,0.21254716063862414,0.29785435754276235,0.13864393780062464,-0.9398029989883091,0.8311652069414827
0.5416,0.536,0.6976,0.3328,-0.4224,-0.5856,0.7216,-0.732,0.28151271167184333,0.45201351700542997,1.0450518109590066,0.786375331614888,0.37431764190871847
0.6808,0.7208,0.7864,0.7512,0.416,0.16,0.7632,-0.0584,0.35498093172626627,0.3048414307131001,-0.2823154123915127,-0.6864937766348308,0.34812675770130574
0.5976,0.42,0.6144,-0.0016,0.136,-0.6408,0.604,-0.7784,0.34538603199816154,0.5856384306286018,1.2109440297288332,-0.28878859676631524,0.7345809835220894
0.5968,0.6016,0.864,0.5344,-0.6368,0.6448,0.8688,0.7136,0.15115906192867665,0.18567262227773607,-1.0214932426776557,0.9969490854282202,-0.08712297717445615
0.6664,0.1072,0.6656,0.556,-0.0064,0.5592,0.6576,-0.068,0.7081233728455668,0.5147938675309119,-1.7305180427263456,0.04867087993337609,1.863071376781386
0.0008,0.7088,0.6896,0.7144,0.6672,0.0784,0.6848,-0.0504,0.4266313723623403,0.49734699121468395,-0.13496960169466043,-1.9650656783645597,0.2110373249171511
0.3816,0.2792,0.6376,0.4136,0.496,-0.664,0.6376,-0.552,0.4307763335514231,0.5412780373712172,1.4525106806341301,-1.1106125793998867,-0.26314026416724645
0.6496,-0.0752,0.7336,0.4056,-0.3192,-0.7976,0.752,-0.7128,0.2727351243896043,0.3872322810281189,2.106015094670872,0.5465913957939743,-0.8036434425796998
0.4624,0.5784,0.6608,0.5752,0.4736,-0.2056,0.6272,0.2136,0.6245173691132522,0.5100334383104111,0.38070515494003443,-0.9800477647332593,-0.8003191504258993
0.56,0.1448,0.624,0.4816,-0.3272,-0.568,0.604,-0.28,0.6895476078922116,0.5625233485711325,1.6899215836055808,0.6679017244506088,-1.0302549324362902
0.4904,0.14,0.7448,0.6144,-0.552,0.68,0.7592,0.4024,0.4420460941423793,0.37648022570878853,-1.6876372340457564,1.0565308751000067,0.9226249645233574
0.6776,0.7024,0.7008,0.5536,-0.0888,0.132,0.6912,-0.4376,0.4602573759991047,0.44312513744824966,-0.2525241571711859,0.10340827029972413,1.0301206858365726
0.7168,0.2232,0.7232,-0.412,0.1176,0.7552,0.7384,0.6592,0.3261621431608539,0.3999761315006506,-1.5539784741184048,-0.1618058253073802,-1.0949257845146354
0.788,0.312,0.7976,0.1232,-0.1792,0.5752,0.8152,0.66,0.4981599366719508,0.28825280920622465,-1.4095062253068118,0.2826395354281747,-0.38895742173849623
0.492,0.648,0.5704,0.6288,0.3264,-0.1624,0.5672,-0.1424,0.5176802608648495,0.6933037841361802,0.31736532574366355,-0.7326728749575236,-0.05366318550847572
0.0008,0.5,0.6368,0.712,0.6368,0.6864,0.6752,0.4688,0.1918533873994279,0.5278381996094516,-1.2136707141316303,-1.992145303535343,0.4741856701404553
0.5792,0.6888,0.6944,0.7192,-0.3368,-0.2064,0.6648,0.1432,0.39545357514146295,0.49782479141395986,0.395578992880201,0.7146623136319032,-0.6253607189140579
0.6232,0.28,0.6856,0.2752,0.2776,0.7448,0.6944,0.7312,0.28544256990018535,0.46752359708121227,-1.4919300075875768,-0.5916062484318247,-0.025590476716029043
0.1296,0.6768,0.8696,0.6192,-0.8808,0.2072,0.88,0.348,0.4305029391542344,0.1696228932989705,-0.39639014633703334,1.74594944084157,-0.2346721354021474
0.288,0.6032,0.612,-0.1032,0.5512,0.2056,0.6024,0.6664,0.5321628419972921,0.6097692641599428,-0.44032657426957517,-1.4377912890436566,-1.7422078693840275
0.5968,0.3432,0.6608,-0.7776,-0.28,0.708,0.6704,0.1408,0.275726462674598,0.49452175531835674,-1.3782093130660877,0.5365025103006031,-2.3088212643627934
0.584,0.2856,0.7408,-0.0136,-0.4536,0.4536,0.7168,0.536,0.7273657571414716,0.39407772846756345,-1.2463608731014655,0.8671242433446981,-0.7580703094706841
0.6904,0.092,0.6952,-0.1888,0.1048,0.6352,0.668,0.6256,0.5598352714070043,0.46807939083712796,-1.789539124023716,-0.17116907300167603,-0.5412272414114833
0.7008,0.5648,0.7056,0.68,-0.248,-0.432,0.7208,0.096,0.41798541389990673,0.4157772780098194,0.7725793167743571,0.4304434787551488,-0.9133620639488421
0.0464,0.8432,0.6008,0.716,-0.644,-0.016,0.6456,-0.4688,0.2186512142795633,0.5664538840269016,0.05632969534099379,1.9090725898749423,0.6563044909738965
0.3032,0.2248,0.6456,-0.7352,0.552,-0.7712,0.6824,-0.3496,0.268008532558105,0.5507278347594191,1.6498383633963747,-1.344490785807418,1.7591646373186554
