X_0_0,X_0_1,X_0_2,X_0_3,Y_0_0,Y_0_1,Y_0_2,Y_0_3,decay_0,decay_1,W_0,W_1,J_0
0.4072,0.7112,0.5504,0.5704,-0.3976,-0.4464,0.5704,0.6248,0.2032040610591003,0.7260090897503968,0.6708860601983551,0.9168566161626012,-1.7218637650611879
0.6304,0.132,0.692,0.492,-0.2216,0.6672,0.6864,0.4672,0.44769435225185844,0.462657485790559,-1.8043726436514618,0.4186014845485549,0.8836272653090795
0.796,-0.4008,0.8208,-0.2488,-0.2584,0.5816,0.828,0.6752,0.3955257166282732,0.24169321519449455,-2.7657573278512766,0.40264006462469026,0.37686309749334995
0.5808,0.6648,0.6392,0.5656,-0.2496,0.3856,0.6352,0.5232,0.2919841058371029,0.5804248192345765,-0.6557206389902106,0.585321171324104,-0.27480363715136563
0.3704,-0.0824,0.748,-0.4032,-0.6256,-0.6248,0.708,-0.456,0.6050023705141923,0.4205832648742913,2.180651227502968,1.3393864753329694,0.677705935088188
0.6192,0.3152,0.7072,0.5848,-0.3144,-0.5488,0.6928,-0.2632,0.5545833010832573,0.45623803611177877,1.3353868702055651,0.5728232655424456,-0.803342592085892
0.5864,0.48,0.64,0.5848,-0.292,-0.4704,0.6672,-0.3136,0.5373120001366467,0.5206017739753576,0.9634587691652985,0.5083161889842063,-0.36683586509952754
0.6456,0.6696,0.6648,0.7392,-0.108,-0.2872,0.6632,-0.0584,0.4138557047581241,0.5167918801465325,0.48551437034572453,0.2188824158810968,-0.38448940760049755
0.6504,0.4016,0.6856,0.4808,0.2144,-0.5928,0.6856,-0.4968,0.4690537345043345,0.5039472451699465,1.2574794154530127,-0.48029623263494103,-0.20392879134598385
0.1232,0.4664,0.68,-0.3896,-0.6368,-0.384,0.708,-0.472,0.6389343715847657,0.49377141243779665,0.8935298956269174,1.6854643508636722,1.930234296067657
-0.1904,0.6752,0.6552,0.7288,-0.6496,-0.3072,0.6736,-0.1192,0.3877329274125535,0.5108994893931089,0.5414734731681322,2.3146790009484417,-0.35239743279020896
0.648,0.64,0.6616,0.6056,-0.0136,0.1584,0.6464,0.3512,0.5106590267046173,0.5641425555173514,-0.23323034031557704,0.056800492687831786,-0.39217723274561705
0.2576,0.5808,0.6968,0.6856,0.6592,-0.3744,0.7008,-0.1992,0.44087853309047714,0.4420143651140564,0.7651055437141442,-1.5259493371211386,-0.3775728814657755
0.8208,0.3896,0.8848,-0.1856,-0.3592,0.5344,0.88,0.6488,0.48108617707957413,0.16545182724645097,-1.2556620311150835,0.5452906311222561,-1.0715912656482374
0.616,0.7704,0.6704,0.7544,-0.1728,0.0616,0.6704,-0.136,0.30825945953757017,0.4941507638844645,-0.06960592983811627,0.3869395431227813,0.3096234917214716
0.4256,0.572,0.6408,0.316,-0.4408,0.5208,0.652,0.6936,0.300408012527039,0.5723600651498564,-0.9348960298515951,1.0376045390713928,-0.44451785452002707
0.4264,0.5376,0.7832,0.6616,-0.6584,0.4352,0.7696,0.1544,0.4626055359348378,0.3363675250649224,-0.8895229766853332,1.2168432499886257,0.5887616836048549
0.1648,0.5744,0.7056,0.7264,0.6872,-0.5712,0.6952,-0.3584,0.2643183543023413,0.4474258487667133,0.9672952609754756,-1.676719865603226,-0.44608202427445764
0.7264,0.1328,0.7848,-0.3216,-0.2544,-0.7032,0.7736,-0.6376,0.4487187435553853,0.31301661445925,1.7527626075046034,0.44307326376313816,0.7459835826915572
0.4816,0.5864,0.632,0.6024,-0.3912,0.1984,0.64,0.1184,0.6061174835391605,0.574018854202132,-0.37607345823520805,0.8606184395781797,0.1983519566930664
0.9184,0.4704,0.9776,0.4104,-0.2712,-0.3856,0.9792,-0.42,0.639574787707841,0.031518504507907885,0.8090958589240539,0.3617278369865956,0.12143364593243246
0.332,0.6688,0.6968,0.6832,0.5968,0.3984,0.7024,-0.3848,0.2939884643584423,0.4541751886666009,-0.6984846453657679,-1.3199475629254516,1.2831383840841184
0.3552,0.3344,0.7224,0.5944,-0.6472,0.796,0.7064,-0.6096,0.18696044881910304,0.39219048340502916,-1.4366965636320501,1.283233274364368,2.424402737507371
0.6504,0.6992,0.6752,0.4656,-0.072,0.2008,0.6912,-0.568,0.3807653210065069,0.49977215526740826,-0.28920323608882437,0.09881150834488964,1.420399570831433
0.7896,0.4576,0.792,0.2008,0.0808,0.4632,0.784,0.66,0.4817667456840856,0.3182300276533242,-0.9562468817742816,-0.17554019915755453,-0.6693826441571585
0.1672,0.4672,0.7296,0.3904,-0.6928,-0.4976,0.74,-0.5712,0.4634566909108186,0.4129531064062308,0.9770243545188068,1.7024664504649267,0.19809417090803894
0.5928,0.5488,0.7688,0.5816,-0.4736,-0.4208,0.7512,-0.3384,0.4762507421923162,0.363094273317942,0.7993846137305692,0.7904267402046651,-0.1759915949795874
0.6728,0.6408,0.7648,0.4656,-0.416,-0.3608,0.7864,-0.604,0.3343526974759149,0.29245032830865714,0.6087719876346384,0.6502812810003984,0.5259623156744294
0.7816,0.1328,0.8264,0.684,-0.3072,-0.6696,0.8456,-0.0952,0.5081228085392039,0.22646642082482754,1.6701814798267738,0.49387860232787195,-1.5241686298370047
0.8936,0.3416,0.884,-0.2456,-0.0544,0.5464,0.9088,0.5576,0.6267322770367658,0.14330705713297448,-1.2974622447094484,0.023847978126437394,-1.1399372051834589
0.828,0.6512,0.8616,0.5808,-0.2392,-0.0024,0.8544,-0.264,0.5414106466990939,0.2074160592844001,-0.002258505993751163,0.4143060262745362,0.5382439576218015
0.716,0.6016,0.7232,0.1088,0.1376,-0.4416,0.7464,-0.7216,0.3657893586565978,0.3772631105962942,0.7953549213642287,-0.2667755954329864,0.94231417524107
0.4488,-0.0552,0.8744,-0.0912,0.7368,0.6792,0.8488,0.6736,0.48193716457360486,0.19081332585902988,-2.047932278368705,-1.2896995063331689,-0.06241291326481989
0.768,0.5616,0.7584,0.4736,-0.0616,-0.4688,0.7696,-0.5584,0.3800784694791563,0.3171486955053704,0.8596881624818795,0.050977891558959806,0.24933627838867672
0.172,0.192,0.6376,0.2376,0.6288,0.5744,0.6456,0.6016,0.5780782958540255,0.5646957886220667,-1.5376223446073554,-1.6503811892816416,0.0281302679358125
0.58,-0.0056,0.6264,-0.3672,0.252,0.624,0.6472,0.5384,0.5997106814039717,0.5983284644139866,-2.0259162742073866,-0.5686358674116909,-0.7309409990821503
0.284,0.5184,0.6472,0.1816,-0.5904,-0.5224,0.6912,-0.6864,0.42840328971285513,0.49062378353969016,0.9699880298924063,1.4036470286934515,0.6434166215127322
0.696,0.8184,0.8008,0.6064,-0.4088,-0.1408,0.7928,-0.5464,0.26278459942642934,0.28333832435319706,0.1904200737520581,0.6433425593210336,0.7460941029755932
0.184,0.7136,0.6616,0.4536,0.6808,-0.2208,0.7136,-0.5512,0.3713078084366049,0.4739450736341199,0.376915498660116,-1.5865894453862845,0.6956614298287117
0.6992,0.5528,0.68,0.272,-0.092,0.3488,0.7256,0.6136,0.5368679942899816,0.43810469991516093,-0.7417494627046064,0.183191903407878,-0.7277761373935102
0.4712,0.4296,0.6624,0.4632,0.4384,0.532,0.6728,0.5136,0.5018647488182559,0.4918398924146637,-1.1352797452754226,-0.9626212410922709,0.06559592437968187
0.7784,0.684,0.7728,-0.016,0.0528,0.2824,0.7896,0.736,0.37435213103870413,0.3215436532158314,-0.4675206232862721,-0.08017174143139086,-1.469941912836462
0.5288,0.6376,0.7864,0.6696,-0.5768,0.2552,0.7792,-0.216,0.4693918923221831,0.32323062818692216,-0.47982797671341576,1.093367219021407,0.8881186499428626
0.7192,0.6336,0.8056,0.6,0.3832,-0.3184,0.8,0.3392,0.4449578541328199,0.27253619281181507,0.5916784589066676,-0.6277407484596981,-1.1996142896252662
0.66,0.2944,0.7544,-0.416,0.376,-0.6672,0.7624,-0.6488,0.37270342405928664,0.34717783687532244,1.4123901075413696,-0.617368941828573,1.2602699772777255
0.7152,0.7776,0.772,-0.2144,-0.156,0.0184,0.752,-0.752,0.29642785636478036,0.3385529353020391,-0.012703016320503585,0.27274363740431057,2.2828337253247017
0.444,0.6032,0.704,0.6376,-0.5584,0.2936,0.7328,-0.2736,0.45747045153669796,0.4017314615745137,-0.5347129821406358,1.1675997933890256,1.0741546362952765
0.3328,0.7248,0.7712,0.652,0.6816,0.268,0.7616,0.4752,0.28362230012646333,0.3663496725072174,-0.4347928316908654,-1.4534404143747122,-0.3613449271245942
0.084,0.6792,0.7848,0.6456,0.7648,0.0304,0.7952,0.1976,0.4701883344498896,0.29965385776706105,-0.0827806370935059,-1.810731012192109,-0.27057099337095203
0.6544,0.672,0.688,0.4408,0.2104,-0.4368,0.7032,-0.6728,0.3178530816119598,0.4533589095501542,0.7242738126326892,-0.4090810482694963,0.5350300967899225
0.4208,0.1096,0.6656,-0.52,-0.4904,0.7208,0.648,0.4928,0.37845657937925403,0.5383014102683041,-1.735968487704821,1.1045786895107135,-1.277679621050237
0.6152,0.4256,0.7248,0.7432,-0.3904,-0.6176,0.7168,0.0192,0.3764215211014853,0.4044529233806469,1.2308870093102593,0.7156120248228112,-1.2861984613980566
0.5696,0.6648,0.784,0.6888,-0.5304,-0.4168,0.764,0.3504,0.33645203301730986,0.33565706441413223,0.6482069117182324,0.928531142686632,-1.255334204035634
0.6664,0.5384,0.78,0.6056,0.412,0.3008,0.7664,0.232,0.5145376672827657,0.32013128576032135,-0.6317328266946757,-0.6913937321148379,0.2113265032670807
0.1032,0.1568,0.6984,-0.1072,0.6872,-0.6,0.7264,-0.6144,0.644442472167856,0.42530147512567495,1.6705116251299201,-1.7317380923731762,0.5226207422019236
-0.2976,0.7072,0.6792,0.6816,-0.6216,0.1232,0.7128,0.184,0.456288798991016,0.45704110585935287,-0.21365414203345115,2.5567658937248012,-0.09180715962589464
0.9336,0.5952,0.932,0.1592,-0.0528,-0.1544,0.9232,-0.6368,0.5319823709771496,0.09555806060855382,0.3166573411860127,0.05005399781276824,1.3938296568811133
0.5968,0.7096,0.7584,0.592,0.5024,0.3128,0.76,0.4848,0.3585404742767572,0.3472726605839993,-0.5061771784238505,-0.8284351321470915,-0.3604831550135753
0.7664,0.5744,0.7672,0.5104,0.132,0.4568,0.76,0.4984,0.4251465184486057,0.3382685530133931,-0.8427336978559608,-0.24800544123025284,-0.0716729545674346
0.5456,0.1992,0.6304,-0.1512,-0.348,-0.6464,0.6536,-0.6688,0.47055744284497547,0.5483357267739903,1.576808800797811,0.706566465961739,0.7127797852093442
0.4376,0.5648,0.6416,-0.544,-0.44,0.472,0.5992,0.5336,0.3688608540255077,0.6021333934228842,-0.8986203591745062,0.9622181585860722,-2.078548789472983
0.4096,0.7376,0.6008,0.7584,0.4312,0.1992,0.6184,0.0312,0.338765592238262,0.6015000021479738,-0.37735490754583356,-0.9140922912140965,0.38747332351324437
0.4008,0.7128,0.7488,0.592,-0.6664,-0.28,0.7696,-0.4552,0.3459545850267589,0.33649545555798,0.427886383199959,1.3012072778536996,0.3974120463462537
-0.4016,0.4768,0.7472,-0.212,0.608,-0.652,0.7176,-0.7728,0.2892024318692217,0.4053087789502484,1.175878340683525,-2.667095842497115,1.0732834294848215
0.5072,-0.5496,0.7536,-0.6648,0.5696,0.4272,0.7208,-0.2912,0.44192696100659,0.37602431557045957,-3.109111252914819,-1.0168530359594266,-1.3602533390890226
0.7632,0.7688,0.764,0.4512,-0.1584,0.3056,0.7824,0.704,0.24158483977509376,0.3151006309471511,-0.47672637952401276,0.2582951346985747,-0.7962890344695737
0.704,0.4816,0.7456,0.504,0.2408,0.4048,0.7288,-0.424,0.5331988201159329,0.3559721176901983,-0.8558145728571945,-0.4299810885949579,1.6664700030276525
0.248,0.3368,0.7136,0.4912,-0.7008,-0.7168,0.728,-0.6376,0.3088391650307055,0.40696615111703494,1.421934460260488,1.5290458481198654,-0.2669300137188474
0.6344,0.6816,0.8376,-0.5232,-0.5848,-0.3768,0.836,-0.5544,0.350617303208139,0.21483990968330152,0.662477519171806,0.9418932218434124,2.262814305327023
0.7408,0.0112,1.0,-0.4776,-0.656,-0.8136,1.0,-0.6568,0.25809885317244463,-0.020171966073250724,1.9251290208011271,0.8991146693064814,0.8252320720161471
0.2696,0.6984,0.6384,0.764,0.5712,-0.4504,0.6448,0.188,0.2719222829681249,0.5938024082951308,0.725894755329512,-1.4404657928683997,-1.0200837668993528
0.6824,0.8368,0.7952,0.1992,0.4664,0.3024,0.7976,0.8488,0.1452371869180602,0.2886313136480346,-0.4395077992686894,-0.7690367427121643,-1.247119688329264
0.1608,0.64,0.8688,0.4808,-0.8728,-0.368,0.88,-0.5128,0.4116233300409999,0.16779307171479288,0.6144016272246451,1.755445857137498,0.431792502563751
0.3976,0.5168,0.6056,0.548,-0.4848,0.4152,0.6064,0.3672,0.5219399185339519,0.570056123247348,-0.8727065989786436,1.1141574272688488,0.13791084577426935
0.3768,0.3024,0.5192,0.5632,0.3984,-0.548,0.5328,0.3096,0.5535571549476407,0.7628487138762244,1.3056210702840592,-1.0294864530353787,-1.8747228849005826
0.1648,0.4632,0.604,-0.1512,-0.5896,0.2208,0.5664,0.4824,0.824979087872241,0.6744276299325226,-0.5469163197443482,1.6308296581265953,-1.767780686374749
0.7824,0.3136,0.804,-0.0024,0.2976,0.7592,0.8208,0.7904,0.2982128630180422,0.24367102336360885,-1.4949020097171626,-0.43715150211347154,-0.46805415989118476
0.468,0.5928,0.7456,0.7208,-0.5696,0.44,0.756,0.0992,0.3180077323401003,0.37586257209709717,-0.7884862144897711,1.1103582464409223,0.6017500566797769
0.7984,0.576,0.7744,0.3672,0.1112,-0.2624,0.7952,0.5552,0.5676455832192114,0.2764353014765297,0.5697746784850031,-0.2122885118745453,-1.784410142745842
0.4264,0.4624,0.6736,0.3688,-0.4816,0.4784,0.656,0.5064,0.5661440203019014,0.537896618569492,-1.0155308352248689,1.0318022632485861,-0.13493398196141476
0.552,0.6304,0.716,-0.2696,0.4736,0.0856,0.7128,0.5904,0.5331264244958189,0.41943934433149305,-0.21207262760826923,-0.8767313793721415,-2.20752840798902
0.6464,0.632,0.7296,0.6512,0.3784,0.3312,0.7344,-0.1888,0.4493835911127072,0.3859588694633025,-0.5533698316413312,-0.64868069621744,0.9025544795692793
0.6704,0.7144,0.7192,0.6984,-0.2792,-0.0728,0.7648,0.2344,0.3913512876912941,0.3823518190773827,0.07949038364996514,0.49726406011066776,-0.5114026707476751
0.5904,0.0008,0.6464,0.0976,-0.3208,-0.8296,0.672,-0.8192,0.23220587925965275,0.5245361144234194,1.9965317032571865,0.643493065012079,-0.20080198177766376
0.7848,0.7008,0.8184,0.484,0.2552,0.2032,0.8352,0.5216,0.4176095570688169,0.24236716378178286,-0.3488612021698397,-0.414093066009469,-0.6755527658116807
0.5288,0.6776,0.6336,0.3488,0.38,0.4256,0.6768,0.7128,0.29917692613908337,0.518224032063044,-0.6990223172017157,-0.7454271383775215,-0.6763356091075383
0.4632,0.6792,0.664,0.4672,-0.476,-0.0848,0.64,-0.5016,0.4919085635453987,0.5133722931259682,0.09498048328517163,1.0167363025552767,0.9279861500902964
0.804,0.4472,0.8384,0.3664,0.184,-0.5648,0.8328,-0.5864,0.4604862540620097,0.2379534513342353,1.1747714797725846,-0.28031817022485067,0.11525343759438628
0.6648,0.7856,0.6624,0.3888,-0.0904,-0.2376,0.6432,-0.7208,0.2543721548786697,0.5060757773873416,0.4165157741627465,0.1640480105939485,0.9348779204131343
0.5392,0.4272,0.6344,0.1144,-0.352,-0.5992,0.6704,-0.6888,0.4233936159414532,0.5318265539160381,1.1929884777057498,0.7407907167720934,0.5626156293710037
0.6072,0.8336,0.7952,0.8,-0.5208,-0.0664,0.808,-0.0904,0.23461299042713585,0.2846830809671715,0.10192914359138851,0.8411482217303498,0.06806936225305803
0.7344,-0.16,0.7544,-0.2464,0.0568,-0.78,0.768,-0.7456,0.3056401979102295,0.3296558247633725,2.201854988371187,-0.09865262697804371,0.11690126020774193
0.6704,0.6656,0.6464,0.4504,-0.0064,-0.1152,0.648,-0.5192,0.48500798113786253,0.5175324892948251,0.2578151833500409,0.004825864470316838,0.8619864654172255
0.4632,0.4784,0.7264,0.616,0.5392,0.7368,0.6936,0.6304,0.16065400886795342,0.41096026008685477,-1.2539359244756283,-1.0849794156605768,0.24253527201912783
0.5752,0.6952,0.788,0.84,-0.556,0.5216,0.8104,-0.1536,0.1810867303398107,0.2602047013464964,-0.7750833722311147,0.9731996532116841,1.0220869857815784
0.2664,0.5512,0.7072,-0.452,-0.6752,0.776,0.7088,0.7768,0.1208496576298922,0.4253533213846041,-1.165662524623717,1.4677300724630762,-1.463728699890021
0.5336,0.0176,0.5928,0.2392,-0.3304,0.6216,0.6016,0.5872,0.5600627215624652,0.6229645379925355,-2.0050985038153617,0.6323585465928038,0.5741733167185673
0.524,0.5176,0.7728,0.024,0.5712,0.4256,0.7632,0.6976,0.4838990323275804,0.3550565003102613,-0.8056903278682359,-1.0387065524914285,-1.1132727845856047
0.2624,0.6416,0.8288,0.6472,-0.7944,0.2,0.8352,0.0792,0.4781598098296183,0.22302462082174734,-0.437948601547708,1.5764525209699487,0.2685981137051895
0.6288,0.5456,0.7712,0.556,-0.4872,0.2144,0.8,-0.2016,0.6838690874256519,0.3003466299313796,-0.4248690581623381,0.8181998775720892,0.8045996354922166
0.3936,0.7032,0.8376,0.7392,0.7128,0.2752,0.852,0.0264,0.3442549415325116,0.2130135959629406,-0.48629933789430446,-1.3121333664164123,0.48379874402285133
0.732,0.656,0.7704,0.5968,-0.3256,-0.1416,0.7784,0.1648,0.5304301975872449,0.30541978790225316,0.2803137252866738,0.516431416344717,-0.5775493625692301
0.4296,0.6776,0.6288,0.084,0.5024,-0.004,0.6432,-0.6464,0.5296086784266164,0.5424096654844663,-0.028381789807991255,-1.1129088381737555,1.806193318104168
0.2792,0.2232,0.7888,-0.38,0.78,-0.5224,0.7952,-0.3824,0.7230720079721656,0.2923865236239469,1.5522848089673211,-1.5275177461890301,1.4018475886596293
0.6768,0.636,0.7376,0.7376,-0.1672,0.4664,0.7056,0.1464,0.3372285402819242,0.41610217598205335,-0.8370172964210478,0.3028902835754059,0.5583072224409589
0.1624,0.6256,0.6656,0.4008,-0.588,0.4232,0.6384,-0.6248,0.3689294982603595,0.5404272558429898,-0.7654756598165547,1.6486834375843318,1.9766849894368441
0.7632,0.6608,0.7672,0.6208,-0.0384,-0.1192,0.78,0.2976,0.46695251411610805,0.35318182224049127,0.1421716718331907,0.052846890188845023,-0.649614827856151
0.808,0.8632,0.8072,0.0328,0.0768,0.0688,0.7992,0.8712,0.1821653647256354,0.2867101555192594,-0.09767688890971034,-0.053878962936199065,-1.8030207959673237
0.6816,0.6312,0.7776,0.288,0.368,-0.0632,0.7968,0.5584,0.5896865514768771,0.3255093955503735,0.09239306785082828,-0.6126174857299145,-1.4344306803248377
0.5408,0.0368,0.5976,0.064,0.236,-0.6432,0.5848,-0.6792,0.5243600983956277,0.6929402332659365,1.9445288731883312,-0.5655338937037567,-0.11366393660866657
0.7104,0.584,0.8976,0.1072,0.54,-0.2824,0.8872,-0.6616,0.5144774142987651,0.139342484393284,0.6338886516255886,-0.8425247959940685,1.0592679922629455
0.6672,0.9856,0.6632,0.9832,-0.0408,-0.1304,0.6496,-0.192,0.009994651245729458,0.5012084382915232,0.13450160031332278,0.1310483065234469,0.08930758774752313
