X_0_0,X_0_1,X_0_2,X_0_3,Y_0_0,Y_0_1,Y_0_2,Y_0_3,decay_0,decay_1,W_0,W_1,J_0
0.2136,0.348,0.2504,0.2608,-0.1272,-0.0608,0.2536,-0.2968,1.2879334360568546,1.717219463284714,0.2389488350312944,0.5605764232364872,0.7489933897094706
0.1376,0.14,0.3048,-0.0072,-0.2632,0.008,0.2752,0.0864,2.662539701909793,1.580441357132608,-0.49239954814449494,1.4348940834514314,-0.9500666577417476
0.1208,0.1872,0.3144,0.1576,-0.2712,-0.0288,0.2704,0.052,2.0896494301181683,1.538800460148062,0.17987930698830418,1.4189434243803807,-0.4905746389467564
0.3432,0.2432,0.3352,-0.3104,-0.0064,0.1824,0.32,0.0448,1.4465870805285799,1.434007569685486,-0.8045408582366534,-0.0027448981035941484,-2.9191123662605873
-0.0496,0.2,0.2248,0.2272,0.1744,-0.0408,0.1496,-0.0448,1.992514916609138,2.115681658164842,0.23696271263601487,-2.208345729400065,0.03251151274959598
0.0832,0.5144,0.1928,0.496,0.1552,-0.0872,0.2184,0.0872,0.865990215566277,1.9764420627394956,0.29115555077749977,-1.2426182993000336,-0.5556361448618524
0.0672,0.1424,0.0912,0.1136,0.1424,0.0472,0.1224,0.1256,2.552473116417378,2.604437056340315,-0.47324457228236183,-1.1716953468705438,-0.44411876069575557
0.2808,0.2104,0.2704,0.1376,0.0312,0.0944,0.2776,0.1776,2.0117814494116177,1.619044495346486,-0.4632372804042318,-0.09719018428050921,-0.8347694837705228
0.04,0.2512,0.256,0.2216,0.212,-0.0816,0.2152,0.1064,1.7550568829004298,1.9262416886302964,0.36234967098084914,-1.8465603223200946,-0.8892968727040965
0.2928,-0.12,0.3632,-0.0696,-0.1824,0.3328,0.3904,0.3472,1.3458429335266968,1.2682077322218726,-2.522183693441549,0.7261122110798018,0.4035742702682992
-0.0424,0.7536,0.164,0.4208,0.184,-0.1096,0.148,-0.644,0.33227319885156303,2.2695501841558916,0.26799573529963516,-2.254833262704661,0.9851720875174715
0.592,-0.0032,0.6656,0.1816,-0.256,0.1792,0.6536,0.1376,2.083623374683142,0.5544748491411868,-1.9478717240794872,0.5451667343226941,1.259417163574113
0.0592,0.3136,0.1512,0.304,-0.144,0.1312,0.1568,0.1256,1.4102611793756692,2.1585084727967128,-0.44565690818871206,1.382616251689155,0.0852108168190311
0.1648,0.0064,0.184,-0.1072,-0.0032,0.2696,0.1912,0.2424,1.5715676913457646,2.1865556982260843,-2.037762524322609,0.1661492298142191,-0.32974456567003174
0.0352,0.2544,0.2416,0.2424,-0.2296,-0.0816,0.2552,-0.0784,1.6101033986745634,1.7124764666018342,0.5519180094815188,1.8003883699687846,-0.043752348534951274
0.18,0.2528,0.2048,0.22,-0.0664,-0.024,0.1864,0.0976,1.7666389019467323,2.0326059274144326,0.3049893396294763,0.6527370456215805,-0.9305203246137038
0.2416,-0.052,0.2584,0.1152,-0.0256,-0.2208,0.26,-0.1856,1.8943280588630185,1.750647498070642,2.118197862369115,0.12103996124418757,-0.9487908575228955
0.3488,0.0672,0.3672,0.0064,0.0896,0.1064,0.336,0.1272,2.5962405206390375,1.3129873932065361,-1.8308424560066188,-0.3845870291089782,-0.18071373487782214
0.1904,0.072,0.2384,-0.088,0.172,-0.0712,0.2192,-0.116,2.52552636304656,1.7669459261897487,1.3685222779314343,-0.9022738142283865,0.9768184482771904
0.2896,0.2984,0.2864,0.3504,-0.0464,-0.1328,0.2632,-0.032,1.3061189363063932,1.6505793682494347,0.5134972657755802,-0.000940769267390732,-0.3347985523852697
0.2272,0.0368,0.3552,-0.092,-0.2432,-0.0832,0.3328,0.0536,2.8338292538949044,1.3567868809703647,1.6063805983718606,1.006849456980303,3.0879890584850735
0.1616,0.0144,0.1344,0.004,0.0056,0.064,0.1616,0.0832,3.0053236894964597,2.260784551268817,-1.5302107971326815,-0.21359111881508216,-0.8243452612211187
0.1496,0.188,0.1792,0.26,-0.1496,0.148,0.2384,-0.092,1.739751970033048,1.9081438831736948,-0.9445435805857689,0.8772139762011523,1.4606361632760707
0.124,0.18,0.128,0.1712,-0.0624,0.0568,0.1528,0.1272,1.950894669908787,2.43481694155196,0.020115415194240645,0.47614186019364296,-1.0096412063370448
0.1728,0.0264,0.1824,0.1016,-0.0592,0.2296,0.184,0.1888,1.8501647221530528,2.1061976343242943,-2.008531058686687,0.3613308346443549,0.7895832406917085
0.0048,0.1176,0.284,0.216,0.2648,0.2384,0.2656,0.036,1.7504644801464706,1.697778104560625,-1.3045383088711044,-1.8987415897114148,1.0027284730330557
0.0872,0.112,0.128,0.0112,-0.052,0.0832,0.1,0.1904,2.4393317813468647,2.537589215911122,-0.7901944145667926,0.8411534171246017,-1.0679320445732658
0.3016,0.2936,0.3368,0.2576,0.2472,-0.0544,0.3384,-0.1448,1.5371346491564117,1.3136719274687583,0.16706817432717833,-0.8375153707458226,0.4651982962741129
0.1592,0.1984,0.1576,0.2304,-0.0648,0.1872,0.1152,0.2472,1.4843917393563237,2.4156746652584173,-0.8691473890772886,0.2165855198272563,-0.2735861661586568
0.356,0.38,0.5008,0.1864,0.3584,0.252,0.5328,0.3648,1.053784179546724,0.8896466552563407,-0.6925078780853648,-0.9010244131071783,-0.6553344951766628
0.3312,0.2544,0.3952,0.0496,-0.2192,0.0312,0.3728,0.22,1.7425993229448216,1.220747132023059,-0.11600208171396446,0.8020102093796531,-1.4986061017871328
0.3392,-0.0984,0.332,-0.0544,-0.068,-0.2144,0.328,-0.224,1.839904363401342,1.4306181843840742,2.505083488985397,0.21990654336435522,-0.36670362345169166
0.1552,0.1448,0.2984,0.1624,-0.1904,0.0976,0.2656,0.0504,2.2730497132257184,1.5804157316055796,-0.6346607376157952,1.109970912672111,0.32509171261985165
0.1936,-0.0104,0.1864,-0.0544,-0.0176,-0.1448,0.1928,-0.1464,2.4751310252672045,1.9944899781308507,1.9071679827144559,0.3106099880235107,0.38198464087562733
0.0488,0.3576,0.1536,0.3256,-0.1504,0.1816,0.1688,0.2816,1.0691822112688323,2.3356329217418543,-0.5746385502356647,1.6430629276703632,-0.34801708612521803
0.1584,0.1952,0.2216,0.2216,-0.1728,-0.0776,0.2192,-0.0376,2.0186718349526664,2.013957528674329,0.4817099956590323,1.0196959540340962,-0.11367606092721445
0.0256,0.1216,0.1544,0.1424,0.1424,0.1336,0.1784,0.1,2.1828376198336246,2.096846395519724,-0.9133020604976193,-1.9027509996817558,0.13824074321874397
0.3288,0.1096,0.2888,0.0992,0.0488,-0.0384,0.308,-0.0136,2.7264771192569803,1.5302797002446087,0.7096815726251169,-0.2078861323446508,-0.48187504269924125
-0.0296,0.3336,0.2264,0.3384,-0.2392,-0.0296,0.2512,0.1176,1.282655942802758,1.8627136905773032,0.0159468115042384,1.9248773948576217,-0.4728088433117372
0.1552,-0.1912,0.1208,-0.2104,-0.0744,0.2704,0.1704,0.2888,1.2466713108824712,2.3706619175637407,-2.6433566604209155,0.5833085537118307,-0.09278705101418885
0.1272,0.1208,0.188,0.1512,0.0576,0.0672,0.1648,0.0688,2.5303502256463513,2.2045227623359454,-0.34851800489602436,-0.32825508645113805,0.03157850465051007
