X_0_0,X_0_1,X_0_2,X_0_3,Y_0_0,Y_0_1,Y_0_2,Y_0_3,decay_0,decay_1,W_0,W_1,J_0
0.1768,0.3336,0.352,0.3136,0.3368,0.056,0.3584,-0.1344,1.3513571662646968,1.257012832860798,-0.2850009961528671,-1.217953550747964,0.7463930083553052
0.4024,0.524,0.4272,0.0152,0.0568,-0.0984,0.4184,0.524,0.8231829982782952,1.089520172987935,0.3175157398402334,-0.07462962482942591,-2.2856065102825065
0.1912,0.3768,0.4664,0.3544,0.4248,-0.3176,0.4424,-0.2848,0.9059567100260526,1.002927549129352,0.8267350773494887,-1.4298833564335975,-0.038731309149987084
0.3992,0.0888,0.4488,0.1592,0.1768,-0.3832,0.4264,-0.316,1.230410688553213,1.0770303334144615,1.6287766025821417,-0.659314374079897,-0.31564853483276356
0.084,0.3472,0.3344,0.252,-0.268,0.1632,0.2528,0.2816,1.2223147665517466,1.5956137205902894,-0.6259496344656423,1.6191799697667368,-0.5221222799036105
0.3184,0.4216,0.3384,0.4904,-0.0016,-0.3432,0.3296,-0.2088,0.7975682265826503,1.3706821248347294,0.8439504170859237,0.09386310846010781,-0.2918448142639946
0.1976,0.0504,0.2736,-0.3664,-0.2216,0.3456,0.2856,0.0432,1.3243681090033728,1.4983315599393776,-1.7188053548371853,0.8914383217290041,-2.137076385433829
0.456,0.44,0.508,0.4776,-0.2248,0.152,0.5144,-0.0512,1.0240479558806241,0.8595434133396452,-0.3620521876889432,0.5603774835835499,0.4192205909041191
0.708,0.2456,0.716,0.2904,-0.1312,-0.2488,0.7168,-0.1912,1.4003338393905307,0.44749678442815644,1.0314589767576905,0.22556555008000367,-0.3525748743634961
0.1112,0.4496,0.4504,0.324,-0.4016,0.056,0.4704,-0.332,1.026951815184694,1.0079867508118059,-0.1593395459208101,1.5511890889979774,1.1075783428293167
-0.004,0.2192,0.5048,0.1704,0.5272,0.4544,0.536,0.4736,0.8460379226614394,0.8252494462496313,-1.4155235921558371,-1.9335236177253126,-0.1591409536620843
0.3864,0.2544,0.4176,0.136,-0.132,0.6472,0.3864,0.6608,0.46840815658514334,1.2191431861428543,-1.4573969269596097,0.4873783837932161,-0.24941658743614253
0.716,0.532,0.7936,-0.6512,-0.2896,-0.344,0.792,-0.0952,0.5560987014651693,0.28010750082351776,0.7480359118813794,0.5334084809245662,2.970690077155514
-0.0552,0.1376,0.356,0.3264,0.3368,-0.2944,0.3584,-0.0936,1.3108447752642318,1.3445426876987439,1.4850504617422222,-2.1731125430855798,-1.1715256591769982
0.3192,0.5336,0.396,0.5232,0.1928,0.1048,0.3968,0.144,0.7403818085859872,1.1572704608671422,-0.20850508269886583,-0.7018114665964794,-0.09913247195894184
0.1408,0.2936,0.4752,0.4128,0.4528,0.3976,0.4968,0.2736,0.894315538882036,0.9046488081029843,-1.1789739277068558,-1.6080217377918613,0.38095889552620327
0.3512,0.3896,0.48,0.2712,0.2608,0.3872,0.4736,0.4712,0.7758747519784255,0.9824243234617883,-0.9754661972323349,-0.7698424125478605,-0.3347601887424609
-0.1744,0.504,0.5488,0.3624,-0.5168,-0.0512,0.536,-0.328,0.8949188231407958,0.7681030847293602,0.16017455232178307,2.3379025553755497,0.7520600790092363
0.4032,0.4496,0.4152,0.2584,0.0528,0.3136,0.4048,0.5128,0.7320654613782671,1.1191217137825622,-0.7879181078076859,-0.2588279328073964,-0.6124627012340544
0.2384,0.5352,0.4344,0.4792,0.3384,0.0896,0.4304,-0.3168,0.7119040840076373,1.035594565710965,-0.21343319015053938,-1.2454912054095968,0.8709785923182055
0.18,0.4976,0.6128,0.1704,-0.568,0.3072,0.6216,0.5608,0.6575405159517664,0.6225078163076254,-0.684673333666311,1.5493426654138134,-0.9278360375986243
0.3464,0.2464,0.3752,-0.0672,-0.1328,-0.3776,0.4008,-0.448,0.9442704216658937,1.134690054517628,1.2579927069261037,0.5220983873133148,0.9767982387096296
0.6352,0.3608,0.6936,0.284,-0.288,-0.0952,0.6816,-0.2712,1.281129457259827,0.4522648303883764,0.4175832246252988,0.5257601796746217,0.5854273894079836
0.2728,0.4928,0.4448,0.316,0.3536,-0.2728,0.4616,0.4312,0.7610759423309289,0.9623357273694146,0.5500725664214067,-1.0399641090791605,-1.7103657495030038
0.5432,0.5048,0.7128,0.4392,0.4656,0.0856,0.6952,0.3048,0.8049941626072226,0.4588427442092401,-0.17712281638766372,-0.8728137366138463,-0.556596101077907
0.2856,0.5768,0.3632,0.3952,-0.1432,-0.1784,0.3512,0.3928,0.6723747040735015,1.356620992504424,0.335030883695409,0.5833242707112486,-1.3233141436547142
0.2288,0.2848,0.5376,0.2408,-0.4776,0.188,0.5296,0.2312,1.3255805093090425,0.7921357162155529,-0.6409692796796848,1.4016439413273922,-0.26935985557730685
0.5336,0.4288,0.5264,0.3696,0.1808,-0.0744,0.5488,-0.2536,1.0127010823676421,0.7508291194764305,0.20760551828678792,-0.45796717704637535,0.5883759003916291
0.7104,0.416,0.7152,0.5096,-0.1784,-0.2088,0.7312,0.0488,0.8953551711622623,0.40304774939659016,0.5615961659777556,0.33267252631494637,-0.559507275388911
-0.0592,0.5576,0.428,0.6256,0.4416,-0.2928,0.4608,-0.1032,0.5803457126871324,1.1020014007652794,0.576190137014355,-2.172130023134516,-0.3519990780936775
0.0776,0.3784,0.3808,0.396,0.3672,0.1536,0.3576,-0.1088,1.0827313953046023,1.2639993298325973,-0.4976540671329887,-1.7963389604423647,0.8217420910620116
0.3896,0.364,0.4192,-0.1016,-0.1944,-0.2336,0.4328,-0.392,1.1295973553390173,1.075273483802893,0.6503405515247321,0.6147733191601856,1.5402931723042466
0.3496,-0.0784,0.5584,-0.2864,-0.4016,-0.512,0.5456,-0.428,0.848235587068086,0.7625061398386949,2.166116172207134,1.1379051598427263,0.4539073561583524
0.364,0.1704,0.352,-0.032,0.08,-0.1784,0.3624,-0.2312,1.7899180426534627,1.2585751402366145,1.046848795599018,-0.3582003717101633,1.19939648623156
0.3256,-0.0096,0.4496,0.2776,0.332,-0.396,0.4696,-0.3232,1.1032255389295442,0.9971514133056376,2.0089221087108533,-0.9964298469567914,-0.9120527533655415
0.7,0.3264,0.6664,-0.0064,-0.012,-0.392,0.6968,-0.5552,0.8126764490831657,0.5114737790743319,1.09804464587798,0.017082829938000543,0.8982183928489059
0.2368,0.4936,0.7032,0.3744,-0.6568,0.0952,0.7256,-0.3264,0.8199702889989103,0.41555949847380613,-0.2652784305658432,1.5344066128122549,1.1740514908196311
0.4088,0.2432,0.3648,0.1296,-0.0128,0.044,0.3824,0.1784,1.7419079849855632,1.1970758344321357,-0.34034803231950206,0.07068827082288631,-0.8273995260815239
0.4,0.3784,0.4232,0.46,-0.156,0.2696,0.4616,0.0,0.9385532709270342,1.017380739627179,-0.7456943840277482,0.31771469937049635,0.7111150598008716
-0.1048,0.4216,0.5264,0.388,0.548,-0.192,0.5632,-0.1656,0.990261111425274,0.781717114208708,0.5613273546531967,-2.2304007708950686,-0.07285247716569523
0.1816,0.3784,0.4848,0.5544,0.436,-0.3848,0.492,-0.032,0.7845296762716293,0.8943591599022287,0.9830256231897189,-1.4544931980673765,-1.0186195257944537
0.46,0.472,0.5008,0.544,0.164,-0.184,0.4648,0.1088,0.8134657340415783,0.9678143890037566,0.39377265750084167,-0.4022791118690307,-0.6921723816595421
0.5032,0.2384,0.4952,0.2856,0.092,-0.096,0.48,-0.1048,1.6312788346700973,0.9093885485335682,0.49235910063087,-0.30620968203607873,-0.0458344402470239
0.4792,0.3832,0.4536,0.0688,-0.0424,-0.0832,0.444,-0.3992,1.2332019852826446,0.9568512593007832,0.2001092460982786,0.15796235890080731,1.5613944149708134
0.116,0.5376,0.3272,0.556,0.3064,0.1872,0.3688,0.224,0.7155101754158565,1.336748085190906,-0.3902663121679417,-1.5595115651478646,-0.11724442070881717
0.2152,0.4112,0.4608,0.4544,0.3344,-0.1432,0.4232,-0.0776,1.0019082444038034,1.0121108850521794,0.48668121113292356,-1.310235011141195,-0.12204743328218337
0.392,0.2992,0.38,0.2928,0.0928,-0.3584,0.4024,-0.3528,0.941664734872059,1.1827878842259612,1.0359112515505997,-0.35890274403453537,0.04102312905395375
0.5384,0.5352,0.5648,0.5336,0.2224,-0.1448,0.5408,-0.228,0.6700419664428925,0.7709543207871785,0.3139361777333407,-0.5049601152627697,0.2338801190613454
-0.3264,0.5856,0.6392,0.5784,-0.536,-0.0712,0.6448,-0.0872,0.6345036460424486,0.5559364733545588,0.10955184532118414,2.635209705236733,0.0681999223014681
0.3976,0.344,0.3968,0.3208,0.1072,-0.0968,0.4416,-0.1512,1.3678949771772633,1.1269936728216443,0.3099629965878194,-0.28959626170200287,0.16706844467825974
0.144,0.408,0.5168,0.4344,-0.4936,0.236,0.504,-0.108,0.9104956596258942,0.8690398969449374,-0.6588433500672782,1.6342618033074494,0.9762319422345359
0.5152,0.3984,0.6192,0.0496,0.3336,-0.5744,0.5992,-0.6736,0.4585854493312642,0.5968607419860201,1.2490889041149043,-0.7209769611716833,0.6011844626590898
0.5784,0.5416,0.6416,0.2232,-0.172,-0.1304,0.6064,0.4888,0.754216470592472,0.6150962231068242,0.3279997758601675,0.3616199724831535,-1.7207045103813456
0.2128,0.3688,0.24,0.2568,0.164,0.2312,0.2944,0.3224,1.0172964115379268,1.5639873317797255,-0.6951002195118942,-0.8353076058677813,-0.47773159679037336
0.2456,0.4712,0.2488,0.572,0.0344,0.3568,0.268,0.0168,0.6767983920104397,1.6521676446531095,-0.8302090561983583,-0.1727126402950934,0.8129496146680917
0.2816,0.6136,0.2936,0.5904,0.0568,0.008,0.2608,-0.1096,0.6637455558537229,1.5720856809708819,-0.0068616312360697115,-0.3154610157370388,0.2953403955691195
0.4232,0.0704,0.4768,0.1456,-0.2536,-0.4928,0.4472,-0.4496,0.8778527759933797,0.9698033431110903,1.6568085607276668,0.7594724631432849,-0.14179556139236932
0.1384,0.5568,0.4232,0.5096,-0.4024,0.0904,0.4112,-0.2424,0.73500590484212,1.094203147283076,-0.20660738964319622,1.5571801085179624,0.744857689242112
0.5544,0.1952,0.6104,0.0152,-0.1768,0.2024,0.5776,0.2672,1.5493639197433668,0.659778576628355,-0.8206277151439546,0.39791474234561724,-1.1630890928934186
0.16,0.2744,0.82,0.5112,0.832,-0.448,0.84,-0.0152,0.8662825928823532,0.22646801698517494,1.2950204262109164,-1.7358480678921036,-1.1898681336848849
0.4784,0.1448,0.4832,-0.0856,0.0272,-0.2888,0.4392,-0.3672,1.3974915271173587,0.9863540806602542,1.3257238922977663,-0.08038088897499295,0.9768473309042648
0.0912,0.4304,0.3544,0.0992,-0.3544,-0.0408,0.3976,-0.44,1.0069525554316083,1.2112465177848175,0.11326500836564285,1.5167651759781833,1.5451931939691408
0.004,0.3712,0.352,0.3208,0.3672,0.068,0.3464,0.2184,1.1921336310308408,1.244915118285647,-0.2839939916114555,-1.9397315806608533,-0.40755293040245666
0.3248,0.2488,0.6,0.1824,-0.5008,-0.3872,0.5528,-0.4152,0.927269887860487,0.7109777090365802,1.293417788928383,1.2449805559079972,0.1825682044636925
0.2248,0.4352,0.3568,0.0408,0.288,-0.0304,0.3552,-0.4656,1.061575803008744,1.260985344792067,0.09588468231850669,-1.1261971555294727,1.7951913264312978
0.4224,0.3264,0.4248,0.0136,-0.0496,-0.016,0.4568,-0.352,1.3315900925887532,1.0971954849366101,0.14989644787824158,0.19717330602174918,1.6565416584658468
