X_0_0,X_0_1,X_0_2,X_0_3,Y_0_0,Y_0_1,Y_0_2,Y_0_3,decay_0,decay_1,W_0,W_1,J_0,Gamma_1_0,Gamma_1_1,Gamma_2_0,Gamma_2_1
0.1808,0.3296,0.1296,0.0,0.0352,-0.0784,-0.0752,0.0,1.0966525888847571,0.33318930372212685,0.14024324171544306,0.4572732900790991,1.8096521210566576,2,2,0.0001,0.0001
0.264,0.2,0.2816,0.0,-0.1472,0.0512,0.0208,0.0,0.4649000325944461,1.232699339226746,0.36984601729802974,-0.04144281264545099,-0.6541756807903911,2,2,0.0001,0.0001
0.1648,0.2032,0.1408,0.0,0.0208,-0.1216,0.0432,0.0,1.5311058924095169,0.8160489103099889,-0.14866962755320415,0.8800964675743905,-1.3001106361241739,2,2,0.0001,0.0001
0.2128,0.1824,0.2368,0.0,0.1296,0.032,0.08,0.0,0.7157198138363238,1.106917217459689,-0.8174106405608188,-0.040945542627911634,0.4687614606630327,2,2,0.0001,0.0001
0.1344,0.2592,0.1616,0.0,-0.1152,0.1952,-0.0896,0.0,1.137252244447363,0.6315096891615815,0.8686955360551234,-0.816188066335961,-1.2897182723027412,2,2,0.0001,0.0001
0.36,0.088,0.352,0.0,-0.1952,-0.104,-0.1424,0.0,0.23083204334280238,1.8110495723729656,0.5010371786063191,0.7875378881015586,-0.1495980231028107,2,2,0.0001,0.0001
0.1488,0.0624,0.1824,0.0,0.1008,0.1488,0.0752,0.0,1.1058466332339243,1.2192438953902234,-0.7122952997354031,-0.8278181265627451,0.048207748459231266,2,2,0.0001,0.0001
0.152,0.0384,0.1312,0.0,0.1152,-0.2848,0.208,0.0,0.9189896941659064,0.614422644674759,-0.7525281518357055,1.7561067400348076,-0.3171117258694394,2,2,0.0001,0.0001
0.2208,0.144,0.2304,0.0,0.0256,0.1264,0.1696,0.0,0.6296933444767014,0.853793352951716,-0.1393937998701741,-0.7323994628312305,-1.429338538575892,2,2,0.0001,0.0001
0.2352,-0.0432,0.2208,0.0,0.0832,-0.0928,0.1232,0.0,0.612725104831672,1.1749596299316813,-0.3808790782625268,2.2635975057857194,-0.5392391210559436,2,2,0.0001,0.0001
0.184,0.0912,0.2144,0.0,-0.0576,0.1232,-0.0944,0.0,0.9075356586617354,1.3695593018443166,0.3310127389732374,-1.1435000174977876,0.7940663584835973,2,2,0.0001,0.0001
0.1824,0.2192,0.1776,0.0,-0.0464,-0.128,-0.0736,0.0,0.9147980471341102,0.9564786229529946,0.6447029206267277,0.6442200119655038,-0.5458718902188703,2,2,0.0001,0.0001
0.152,0.1584,0.1824,0.0,-0.0384,0.0112,-0.0304,0.0,0.9891740508432749,1.4279666059078395,0.4405909036289122,0.06666127017668178,-0.007502935344948775,2,2,0.0001,0.0001
0.2448,0.2928,0.2528,0.0,-0.0496,-0.232,0.04,0.0,0.7860628502013902,0.40793805620335555,0.28146671340049534,0.6420953267066628,-0.663398493744851,2,2,0.0001,0.0001
0.1872,0.08,0.1488,0.0,0.0032,0.1504,0.0448,0.0,1.1784056357748887,0.9979037754393322,-0.24516317467725338,-1.1609207936043837,-0.1975348613179929,2,2,0.0001,0.0001
0.2,0.1968,0.2096,0.0,-0.016,0.0032,0.0704,0.0,0.8410940324495739,1.1343285389256865,-0.047745256428386444,0.19963970932835481,-0.7566787542031179,2,2,0.0001,0.0001
-0.0496,0.0224,-0.0256,0.0,0.096,0.1824,0.056,0.0,1.4310536885685976,0.9104205809188892,-2.294766404898947,-1.7253014513960854,0.19894679239958635,2,2,0.0001,0.0001
0.2272,0.2016,0.256,0.0,0.168,0.0656,0.1824,0.0,0.6818905294254809,1.239772970079531,-0.8514125090350584,-0.3070462988363551,0.27224889789656825,2,2,0.0001,0.0001
0.0128,0.0784,-0.0032,0.0,-0.1632,-0.112,-0.2,0.0,1.337557964068122,1.691103227404029,2.209316256491878,1.2755651604493383,-0.3168593948525272,2,2,0.0001,0.0001
0.1904,0.1504,0.2416,0.0,-0.0016,-0.0944,0.0112,0.0,1.2297532545403342,1.0660653141379148,-0.018098589950066787,0.9001956549777659,0.0776658540074656,2,2,0.0001,0.0001
0.1968,0.2656,0.2304,0.0,-0.0784,-0.0384,0.0448,0.0,1.0646026004761495,0.908437196925066,0.1496315346484583,0.2697506964186755,-0.3902630662990413,2,2,0.0001,0.0001
0.2752,0.1088,0.2704,0.0,-0.0352,0.1392,0.032,0.0,0.6669803177553215,0.8697435727735647,0.07941518595410313,-1.157229479905274,-0.25392661091644037,2,2,0.0001,0.0001
0.2352,0.3168,0.2528,0.0,-0.0928,-0.0432,-0.0256,0.0,0.44680822841278167,0.3552911926916873,0.5917599056215724,0.3582573280942288,-0.9558412637112784,2,2,0.0001,0.0001
