X_0_0,X_0_1,X_0_2,X_0_3,Y_0_0,Y_0_1,Y_0_2,Y_0_3,decay_0,decay_1,W_0,W_1,J_0,Gamma_1_0,Gamma_1_1,Gamma_2_0,Gamma_2_1
0.0848,0.088,0.064,0.0,0.064,0.0928,0.0128,0.0,1.333452978598442,1.081639851883282,0.037073384265317956,-0.587695486292337,1.5333292474445732,4,4,0.0001,0.0001
0.0832,0.0816,0.0624,0.0,-0.0384,-0.0464,0.0256,0.0,0.942471272562667,0.9711779908975005,-0.11725787935265793,1.3092041914873058,0.567420775563804,4,4,0.0001,0.0001
0.1312,0.1312,0.1312,0.0,-0.024,-0.024,-0.0432,0.0,0.9260311889434844,0.7991121837172228,0.30581466036079424,0.7285751366221871,-0.2319678915685466,4,4,0.0001,0.0001
0.1056,0.088,0.0944,0.0,0.0672,0.0512,0.0368,0.0,0.6957087352789062,0.9330616461453052,-1.1220457412835028,-0.2762156404715658,0.5758860666824288,4,4,0.0001,0.0001
0.0608,0.0368,0.0576,0.0,-0.0352,0.1296,-0.0896,0.0,1.0673323555969556,0.8186239107575473,0.6275810477451356,-1.882377622349182,-0.4941679746810038,4,4,0.0001,0.0001
0.0544,0.0592,0.0208,0.0,-0.1184,0.0288,-0.072,0.0,1.4907199494659016,1.1296862379057457,1.4049289785613037,-0.9082703642480116,-0.1483041235669906,4,4,0.0001,0.0001
0.048,0.0032,0.0512,0.0,0.0272,0.0272,0.0208,0.0,1.6660563611749943,1.3895312352721758,-0.7494048951386126,-0.13482067178928536,-0.33579108299807153,4,4,0.0001,0.0001
0.0368,0.008,-0.0096,0.0,-0.0736,-0.0896,-0.008,0.0,1.1650966123697015,1.2402792532519435,1.205080636305096,1.8888898793804214,1.6178662141622433,4,4,0.0001,0.0001
0.0,0.0304,0.064,0.0,-0.0448,-0.0544,-0.0224,0.0,1.5136654014506012,1.0062688014056922,0.8264929410281959,0.8824668354592194,-0.05420717735161735,4,4,0.0001,0.0001
0.032,0.0672,0.0384,0.0,0.0064,0.0512,0.0112,0.0,1.3634319277882059,1.300291717880699,-0.24381104818841443,0.37226393223272447,-1.4154442581760727,4,4,0.0001,0.0001
0.0832,0.0896,0.1344,0.0,0.0352,-0.0048,0.0736,0.0,0.753847205725878,1.059492332883968,-0.387962526183075,0.17730942027653182,-0.766391998121676,4,4,0.0001,0.0001
0.0656,0.016,0.048,0.0,0.0144,0.0512,-0.0528,0.0,1.267451375161563,1.2385977295330952,0.5751131283960288,-2.0989132681751665,0.6835721359997684,4,4,0.0001,0.0001
-0.0608,0.0112,-0.016,0.0,-0.0704,-0.0816,-0.08,0.0,0.7623751781981518,1.147153653304622,2.226359595407989,1.9003630336613868,-0.9880781479837295,4,4,0.0001,0.0001
0.064,0.016,0.0704,0.0,0.088,-0.1632,0.072,0.0,0.909203889511361,1.1896132156355614,-1.3814284657924558,1.6756765112665477,2.4846794786496647,4,4,0.0001,0.0001
0.0928,0.0528,0.032,0.0,-0.0096,0.0352,0.024,0.0,1.1870720546285636,0.9381875429483554,-0.4158535595410663,-0.48602000841015147,-0.41030703179572187,4,4,0.0001,0.0001
0.0272,0.0672,0.072,0.0,-0.0288,0.0432,-0.0032,0.0,1.4520213670801156,1.6571171872657102,0.05938740076604043,-0.44672379424900693,-0.7446903007728407,4,4,0.0001,0.0001
0.104,0.0672,0.128,0.0,-0.1072,0.0288,-0.1216,0.0,0.4786881519238888,1.063152177103734,0.8796112542599777,-0.5746475791686559,-1.1375220243213469,4,4,0.0001,0.0001
0.1632,0.1248,0.1824,0.0,-0.072,0.0336,-0.0384,0.0,0.2820742853387388,1.1054006069999818,0.5601361354029112,0.0357853282838471,0.3983012236740715,4,4,0.0001,0.0001
0.128,0.0576,0.0976,0.0,-0.048,0.0368,-0.088,0.0,0.8430199359137589,1.3449203274896566,0.6193231612521005,-1.2164622157273153,-0.5226900205301063,4,4,0.0001,0.0001
0.096,0.1408,0.1408,0.0,-0.0192,-0.0352,0.0064,0.0,1.100562314364492,0.3572457549900393,0.31958898949190134,0.6571802175097383,-0.5318579313256167,4,4,0.0001,0.0001
0.0832,0.1488,0.1168,0.0,-0.0176,0.0592,0.0896,0.0,1.008356556587921,0.943283286792326,-0.7262006986973919,-0.49122618559787107,-0.002208256084057343,4,4,0.0001,0.0001
0.0896,0.0096,0.0608,0.0,-0.0528,-0.0736,-0.0192,0.0,1.247211856498063,1.5287217917316132,0.5890902611156614,1.4076057566925717,1.7452846081656066,4,4,0.0001,0.0001
0.1312,-0.0112,0.088,0.0,-0.016,-0.0384,-0.08,0.0,0.21604074059094802,1.0161021718987044,0.3697784488461242,2.0858528993614094,1.0608370215877425,4,4,0.0001,0.0001
0.08,0.0448,0.0064,0.0,-0.0176,0.0416,-0.0272,0.0,0.8042330884023323,1.2015553133894046,0.5096522116119822,-0.5247510102610982,-0.4978352397714872,4,4,0.0001,0.0001
0.04,0.048,0.0992,0.0,-0.0384,0.0656,-0.024,0.0,1.598797881830786,1.1150659564697962,0.31016582202361254,-0.0246357188483204,0.13643427652467696,4,4,0.0001,0.0001
0.0528,0.0304,-0.0176,0.0,-0.04,-0.0432,-0.0448,0.0,1.0103546039147733,1.487926603746797,1.4306841800082515,0.8036308232863469,0.010012571237753946,4,4,0.0001,0.0001
0.0416,0.0528,0.0256,0.0,0.1216,0.0688,0.1232,0.0,0.8180241815013832,1.1745143585173246,-1.1787005120264253,-0.7798383707003685,-0.6150638779179198,4,4,0.0001,0.0001
0.1456,0.1216,0.096,0.0,0.0336,0.0128,-0.0096,0.0,0.9478479408842561,0.39326632177273435,-0.37240949481466623,-0.18616194193862087,1.0011832357847321,4,4,0.0001,0.0001
0.0832,0.1248,0.0224,0.0,-0.04,-0.0016,-0.0016,0.0,1.1448557391670582,0.8126185911809312,0.5315342381478738,-0.18843306452491032,0.477770159042927,4,4,0.0001,0.0001
0.0832,0.016,0.0368,0.0,0.0176,0.064,-0.0208,0.0,1.5532190300702462,1.1646759202445383,-0.1126904404810545,-2.224802347282292,-0.9910981311713728,4,4,0.0001,0.0001
-0.0208,0.04,0.032,0.0,-0.104,0.0608,-0.0848,0.0,1.0780352391140908,0.7674548750895196,2.569201650924355,-0.7055980152963333,-1.6905269292971536,4,4,0.0001,0.0001
0.1408,0.0512,0.0848,0.0,0.1136,0.056,0.0592,0.0,0.8639415899941674,0.7067512812197205,-0.9194388899238832,-0.9033972288806456,0.6074921345238432,4,4,0.0001,0.0001
0.0816,0.0608,0.0528,0.0,-0.0816,0.0,-0.0816,0.0,0.5535971555406476,1.730674493383877,0.9922542093089024,-0.5471505104493746,1.734273046171995,4,4,0.0001,0.0001
0.056,0.0592,0.1136,0.0,-0.0352,0.0784,0.0064,0.0,0.8464383680402523,1.0703631952152082,0.6399837078429865,-0.8250484852511127,-0.11972237851929915,4,4,0.0001,0.0001
0.0656,0.0752,0.1136,0.0,-0.0368,0.04,-0.032,0.0,0.6744464136997939,1.0529427398847595,0.271370978746832,-1.2144316483636077,-0.9835201170980514,4,4,0.0001,0.0001
0.064,0.072,0.0544,0.0,-0.1168,0.0944,-0.1184,0.0,0.840042735765643,0.7997360087648302,1.2714108083938414,-1.610815677853875,0.09421646014235165,4,4,0.0001,0.0001
0.0704,-0.0064,-0.0064,0.0,0.0336,-0.0304,0.0512,0.0,1.7263227584304515,1.1101607172950034,-0.7939872428906442,1.409511780658918,-1.0968001985737754,4,4,0.0001,0.0001
0.0704,-0.072,-0.0016,0.0,0.0016,-0.1328,0.024,0.0,1.658375209493638,0.4869911675673534,0.28575105630013864,2.217539815463042,1.0668934738559281,4,4,0.0001,0.0001
0.1232,0.1136,0.1232,0.0,0.0416,0.0144,-0.0064,0.0,0.9516763694550954,0.5008232911891354,0.006432258278348298,-0.3211178873513186,-0.528304211169852,4,4,0.0001,0.0001
0.0832,0.0048,0.0896,0.0,-0.136,-0.0736,-0.08,0.0,0.749691130198886,1.6074689305204475,1.2798924700514895,2.205795745682465,0.486320196683843,4,4,0.0001,0.0001
0.0464,0.0608,0.0512,0.0,0.0224,-0.1136,-0.0016,0.0,1.363608931280801,0.9140562748379861,-0.6567166783440557,1.911757684225987,0.5554817644317384,4,4,0.0001,0.0001
-0.0832,0.0864,-0.0384,0.0,-0.0784,0.0848,-0.0832,0.0,0.8398478878713785,1.013579947137204,2.4202913017103076,-0.8522454615467308,-0.10808704375690653,4,4,0.0001,0.0001
-0.032,0.104,0.0336,0.0,0.016,0.0336,0.008,0.0,1.4949509968533954,0.4901985186123421,-1.1538048823246645,-0.2704271472058238,-0.18088016411306268,4,4,0.0001,0.0001
0.1168,0.0608,0.0688,0.0,-0.04,0.0208,-0.08,0.0,0.8873589922151827,1.3304507082050265,0.7135913917077614,-0.11996847593413038,0.5572718283261949,4,4,0.0001,0.0001
0.0384,0.1024,0.1296,0.0,0.0752,-0.0608,0.1472,0.0,0.6757696976171762,0.5853117885853287,-1.453790653105104,-0.18022725941203202,1.0617824345131774,4,4,0.0001,0.0001
0.0592,0.0464,0.0096,0.0,-0.088,0.1888,-0.104,0.0,1.013458915550853,0.5338324138163082,1.3826437420237818,-2.002961165572895,0.5047000729804485,4,4,0.0001,0.0001
0.04,-0.024,0.088,0.0,-0.0512,0.1056,-0.0208,0.0,1.4794613530217573,0.9209486860845929,0.5671231626728245,-1.9500900753162658,-0.5706230486217043,4,4,0.0001,0.0001
0.0512,-0.0144,0.064,0.0,-0.0048,-0.1248,-0.1328,0.0,1.1251913946896224,0.7727079299346385,0.3878151199187865,2.0727343306366257,0.46493912059570935,4,4,0.0001,0.0001
-0.0016,0.0464,-0.0128,0.0,0.0752,-0.056,0.0688,0.0,1.0091892626102463,1.7331586927533125,-2.0993585139815476,0.23209051549706242,-0.2862196070387837,4,4,0.0001,0.0001
-0.032,0.0656,0.008,0.0,-0.0864,0.0448,-0.1248,0.0,0.8426176234059507,1.4800916172733825,2.095617864617505,-0.6776812940798043,-0.4158905742290076,4,4,0.0001,0.0001
0.056,0.04,0.1008,0.0,0.0224,-0.0928,0.0496,0.0,1.0268299244700274,1.1725240424505836,-0.34753107572155456,1.2229355127615265,-0.1216796708923651,4,4,0.0001,0.0001
-0.0176,0.0624,0.0464,0.0,-0.0416,0.0704,-0.0624,0.0,1.1721635550703458,1.4352681858288485,2.379812870221743,0.07359029959767044,-0.7013506928360695,4,4,0.0001,0.0001
0.0288,0.0192,0.064,0.0,-0.1312,0.0272,-0.112,0.0,1.083355862739182,1.3046180913533123,2.1649517104192926,-1.311272985786806,-0.5572674338876841,4,4,0.0001,0.0001
0.0832,0.0752,0.0416,0.0,-0.064,0.0752,-0.0224,0.0,1.1246218402857107,1.0674088980718783,0.4899273323508557,-0.6805211342202989,0.3862325092784535,4,4,0.0001,0.0001
0.032,0.1008,0.0064,0.0,-0.0688,0.0528,-0.04,0.0,1.490282841538433,0.8088078163029351,1.8363892061034963,-0.4329894047119122,0.31709928819683164,4,4,0.0001,0.0001
0.112,0.04,0.1152,0.0,0.0288,-0.048,0.0496,0.0,1.1315209729885352,1.1954331171671937,-0.2470639823488312,0.8086767873833138,-0.003177507230688201,4,4,0.0001,0.0001
0.0992,0.1168,0.0896,0.0,0.0192,0.064,0.0576,0.0,0.8483950802619427,0.9797531786819982,-0.08302008004437551,-0.9549637479760333,0.464980017884131,4,4,0.0001,0.0001
0.048,0.0816,0.1008,0.0,0.0304,-0.0624,0.0512,0.0,1.3728434417000408,1.0197204552426102,-0.8616575483671354,0.08983387878295757,-0.493972147530555,4,4,0.0001,0.0001
0.0464,0.1856,0.0528,0.0,-0.0864,0.0864,-0.0768,0.0,1.180808473586358,0.23885102398237812,1.5708741302069427,-0.4383711110920452,-0.2835532941604388,4,4,0.0001,0.0001
0.0144,0.1728,0.0384,0.0,0.0288,-0.0608,0.0656,0.0,1.1866818273133275,0.7968736848423789,-1.7162955328658325,0.2617337178522083,-0.2364207486049291,4,4,0.0001,0.0001
0.0416,0.08,0.0304,0.0,-0.04,0.08,-0.0384,0.0,1.3857244469046046,0.8350579845828667,0.9195478953797038,-1.0269752280267834,1.3402575869143636,4,4,0.0001,0.0001
0.0064,0.1088,-0.0272,0.0,0.0272,0.024,0.0672,0.0,1.7642494502035786,1.099390561465334,-1.6081320118751061,-0.205735676357168,-3.0368543300337514,4,4,0.0001,0.0001
0.0096,0.016,0.0688,0.0,-0.1152,-0.0304,-0.0848,0.0,1.2185371963911087,1.1264322724141314,1.5223499252284765,1.0034868769597025,1.3667225719053577,4,4,0.0001,0.0001
0.0512,0.088,0.0496,0.0,0.0832,0.0832,0.04,0.0,0.655155147041025,0.6908281206343884,-0.8522852661097333,-1.1454580139387982,1.601328674616978,4,4,0.0001,0.0001
0.0784,0.0464,0.0224,0.0,-0.0768,0.0496,-0.04,0.0,1.1552094337130163,0.895801324358953,0.5693402430968899,-1.2931044742622664,1.070085962493538,4,4,0.0001,0.0001
0.0464,0.0944,0.1136,0.0,0.0624,-0.0144,0.1056,0.0,0.9320179105048394,1.527879432963512,-1.0179094197436107,-0.22420649251188962,0.022345646335926096,4,4,0.0001,0.0001
0.1184,0.0496,0.1184,0.0,-0.0672,-0.0096,-0.0704,0.0,1.0021854689490832,1.815330863180905,0.8462009806260309,0.12523572243786538,-0.6150189137965458,4,4,0.0001,0.0001
0.0944,-0.008,0.0416,0.0,0.104,-0.0736,0.096,0.0,0.662676015344504,1.1682446921266267,-1.1169350844373778,1.3887244613083438,-0.043126899668550975,4,4,0.0001,0.0001
0.0832,0.1424,0.0992,0.0,-0.088,0.0176,-0.1152,0.0,0.33728033141899894,1.017719961339619,0.8814788763664552,-0.24929920387341784,0.4386013538101739,4,4,0.0001,0.0001
0.0832,0.08,0.0096,0.0,-0.0048,-0.0032,0.0096,0.0,1.0692840328235498,1.08686310831055,0.3589230086873287,0.21945937462615966,-0.7865752559610906,4,4,0.0001,0.0001
0.0752,0.072,0.0032,0.0,-0.0016,-0.0272,-0.0592,0.0,1.3243620134232734,1.2657739253466402,0.9606857114982422,0.34621710228402897,0.5226540470370346,4,4,0.0001,0.0001
0.0864,0.056,0.0448,0.0,-0.0768,-0.0768,-0.0768,0.0,0.8831279040145249,1.3218007275486756,0.9679144296386974,1.2604097943503445,0.6565674229306417,4,4,0.0001,0.0001
0.016,0.0656,0.032,0.0,0.0592,0.0192,0.08,0.0,0.8894912619100453,1.2397732204423701,-1.19998718333516,-0.5758126990383443,-0.6706390632570385,4,4,0.0001,0.0001
0.096,-0.0208,0.064,0.0,-0.0464,-0.0544,-0.1248,0.0,0.4973049821562756,1.6168734478709108,0.9808987722489777,1.9028300832021108,1.4332525751381047,4,4,0.0001,0.0001
0.064,0.0736,0.064,0.0,0.0144,0.0544,0.1088,0.0,0.7624974222209295,0.9778970624018734,-1.0133536487576718,-0.7341606216957202,-1.0435424906490862,4,4,0.0001,0.0001
0.0768,0.104,0.0624,0.0,-0.0128,0.072,0.04,0.0,0.9800190098875737,1.0823434224596276,0.10798805562464826,-0.6680249753325973,0.33094617293036355,4,4,0.0001,0.0001
0.0304,0.0112,0.048,0.0,0.0816,-0.1696,0.024,0.0,1.0735930193786978,0.6231271714621887,-1.2389962850693503,1.5004378037009878,0.49392773308039367,4,4,0.0001,0.0001
0.0128,0.0704,0.0624,0.0,0.104,0.04,0.0864,0.0,0.9716283739128012,0.975981391849471,-0.8672102666583805,-1.10675946354433,0.4413083370956888,4,4,0.0001,0.0001
0.032,-0.0016,0.0256,0.0,-0.1072,-0.0816,-0.0672,0.0,1.2695679950954482,0.9958321535783748,1.5279198466411925,1.8064772533211237,0.03125711500417849,4,4,0.0001,0.0001
0.0416,0.0944,0.072,0.0,-0.0192,0.0416,-0.04,0.0,1.0192570021400242,1.1111048352297614,0.5740187398851249,-1.1354482782083373,-1.4648125887249908,4,4,0.0001,0.0001
0.088,0.048,0.0112,0.0,-0.0016,0.0176,-0.0176,0.0,1.1507443020037784,1.3339394989976854,-0.29345900034792183,0.16071930505495366,-0.3011594647788616,4,4,0.0001,0.0001
