0_0,0_1,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1,5_0,5_1,6_0,6_1,7_0,7_1,8_0,8_1,9_0,9_1,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,0.64,0.5,-0.24,-0.14,-0.46,-0.5,-0.06,0.0,0.0,0.0,-0.54,-0.64,-0.78,-0.74,-0.2,-0.18,0.74,0.66,-0.022796842117096316,0.8751604815475862,3.3564844503724762,3.3949811980168723,4.338457595660731
1.0,1.0,0.7,0.48,0.16,-0.32,-0.56,-0.64,-0.52,-0.28,-0.08,-0.04,0.0,-0.04,-0.24,-0.38,-0.48,-0.04,-0.8,0.7,-0.305636838320994,0.1996895212296831,2.780007598435974,3.9924484556393964,3.2037161664908025
1.0,1.0,0.78,0.52,0.28,-0.18,-0.02,-0.5,0.06,0.06,0.18,0.0,0.84,-0.64,0.86,-0.9,0.4,-0.52,0.04,0.28,1.3122888686756475,1.5186851825223542,0.7394178024105282,2.991809306598641,4.583139661538361
1.0,1.0,0.72,0.34,-0.06,-0.48,-0.54,-0.72,-0.18,-0.08,0.0,-0.08,0.08,-0.42,-0.52,0.06,-0.94,0.86,-0.58,0.88,-0.0605307870265519,0.6838857512678029,2.6396581360823044,4.466348998977718,3.975714651761143
1.0,1.0,0.54,0.5,-0.16,-0.3,-0.46,-0.5,-0.32,-0.24,0.1,0.02,-0.2,-0.32,-0.66,-0.5,-0.54,-0.02,0.02,0.8,0.8976972936476565,0.34401373689882786,3.2495512432448876,3.779017192476863,3.5529874494718667
1.0,1.0,0.7,0.94,0.46,0.66,-0.14,0.06,-0.56,-0.12,-0.92,-0.7,-0.82,-0.84,-0.48,-0.82,-0.06,-0.66,0.32,-0.54,3.861993409228066,-0.3750277816640615,2.885193571988367,2.097611875616703,0.9464019006209217
1.0,1.0,0.82,0.68,0.3,-0.14,-0.1,-0.72,-0.36,-0.48,-0.32,-0.08,0.06,-0.02,0.16,-0.12,0.16,-0.34,-0.26,0.22,1.5888655340228977,0.9203769671819709,1.883590271451369,3.86987531013678,2.7094212645386277
1.0,1.0,0.68,0.64,0.22,-0.18,-0.2,-0.54,-0.34,-0.32,0.2,-0.06,0.32,-0.2,0.0,-0.68,-0.48,-0.46,-0.96,0.66,0.2270359427497285,0.6277128863159787,1.7758315024189428,3.393267586504124,3.9468238185941487
1.0,1.0,0.5,0.66,-0.18,-0.28,-0.58,-0.44,-0.28,-0.34,0.06,-0.02,-0.6,-0.44,-0.54,-0.54,-0.02,-0.58,0.86,0.54,-0.6717292122410847,1.6511421247421432,3.8134765957393055,3.366316251964043,3.755412196867653
1.0,1.0,0.86,0.76,0.46,0.54,-0.28,-0.24,-0.68,-0.6,-0.82,-0.8,-0.68,-0.76,-0.38,-0.38,0.18,-0.1,0.32,0.3,0.6637345060148616,0.19525545650933906,2.863305533711168,2.7837995443441916,1.1555803566770846
